"Smiles","Class_HH","Class_WL"
"CO[P](=S)(OC)Oc1ccc(cc1)[N+]([O-])=O",,1
"CO[P](=O)(OC)OC(=C/Cl)/c1cc(Cl)c(Cl)cc1Cl",0,
"COC(=O)\C=C(/C)O[P](=O)(OC)OC",0,1
"O=[P](N1CC1)(N2CC2)N3CC3",0,
"CNC(=O)Oc1cccc2CC(C)(C)Oc12",1,1
"Clc1ccc(cc1)c2ccc(Cl)cc2Cl",1,1
"Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)cc2Cl",1,1
"ClCCN(CCCl)[P]1(=O)NCCCO1",1,
"ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl",1,
"CCCCOC(=O)c1ccccc1C(O)=O",1,
"CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2",1,
"Cc1c(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)cccc1c3ccccc3",1,
"[Cl]|[Sn](CCC)(CCC)CCC",,1
"CCCC[Sn](CCCC)(CCCC)CCCC",1,1
"Brc1cc2Oc3cc(Br)c(Br)c(Br)c3Oc2cc1Br",,1
"CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2)C=C[C@@H]1C.CO[C@H]8C[C@@H](O[C@@H](C)[C@@H]8O)O[C@H]9[C@H](C)O[C@H](C[C@@H]9OC)O[C@H]/%10[C@@H](C)/C=C/C=C/%11CO[C@@H]%12[C@H](O)C(=C[C@@H](C(=O)O[C@H]%13C[C@@H](C\C=C%10C)O[C@@]%14(C%13)O[C@H](C(C)C)[C@@H](C)C=C%14)[C@]%11%12O)C",0,
"CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C",0,
"Oc1c(Br)cc(cc1Br)C#N",1,
