"Smiles","CSCL-ISHL—S9_AMES","CSCL-ISHL+S9_AMES","CSCL-ISHLoverall_AMES","Kirkland et al 2005 & 2011 [1, 2]*_AMES","US NTP_AMES","ECHA_AMES","Kirkland et al 2005 & 2011 [1, 2]*MLA_invitro","US NTP_MLA_invitro","SCCS_MLA_invitro","CosE_MLA_invitro","ECHA_MLA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_MN_invitro","SCCS_MN_invitro","CosE_MN_invitro","CSCL-ISHL—S9_CA_invitro","CSCL-ISHL+S9_CA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_CA_invitro","US NTP_CA_invitro","EFSA_CA_invitro","SCCS_CA_invitro","CosE_CA_invitro","ECHA_CA_invitro","CSCL-ISHL_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_MN_invivo","US NTP_MN_invivo","EFSA_MN_invivo","SCCS_MN_invivo","CosE_MN_invivo","ECHA_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_CA_invivo","US NTP_CA_invivo","Kirkland et al 2005 & 2011 [1, 2]*_UDS_invivo","Kirkland et al 2005 & 2011 [1, 2]*-transgenic","Kirkland et al 2005 & 2011 [1, 2]*_DNAdmg_invivo","Kirkland et al 2005 & 2011 [1, 2]*_Carc","NTP_Carc","EFSA_Carc","ECHA_Carc"
"Nc1cc(Cl)cc(C(O)=O)c1Cl",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl",,,,1,1,,,,,,,,,,,,1,1,,,,,,1,1,,,,,1,,,1,,1,,,
"ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl",,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"ClCCN(CCCl)c1ccc2ccccc2c1",,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
"ClCC=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CC(=O)Nc1ccc(cc1)C(=O)CCl",,,,1,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,0,0,,
"Nc1ccc(Cl)cc1",,,,1,1,,,1,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,1,,
"[H+].[Cl-].CN=C1CN(O)C(=C2C=C(Cl)C=CC2=N1)c3ccccc3",,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,
"[O-][Cl]=O",,,,1,,,1,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
"ClCC(=O)c1ccccc1",,,,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"Clc1ccccc1C=C(C#N)C#N",,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,
"Clc1ccc(cc1)C(Cl)(Cl)Cl",0,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
"ClC(=C)C=C",,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,1,,1
"ClCc1ccccc1Cl",1,0,1,,,,,,,,,,,,0,1,,,,,,,0,,,,,,,,,,,,,,,
"OC1OC(=O)C(=C1C(Cl)Cl)Cl",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,1,0,1,1,,,
"ClC(Br)Br",,,,1,1,,,1,,,,,,,,,,0,,,,,,0,0,,,,,,1,0,,1,1,1,,
"FC(F)Cl",1,1,1,1,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,0,,,
"CCCl",,,,1,,1,,,,,1,,,,,,,,,,,,,0,,,,,0,,,0,,,1,1,,1
