Compound Id	ChiPath [VP-0]
15853	8.311
21106140	8.040
10801109	10.838
86394	6.932
21106145	6.333
62310	7.487
13835706	8.941
7092	5.648
1448	5.910
8182	6.020
21106518	5.795
10437239	5.241
13848793	5.781
68676	7.816
16180	9.356
7600	8.339
13846959	5.150
6773	6.943
7340	9.811
13837329	7.942
21106581	6.333
16475	5.795
7146	5.482
185	5.074
6828	6.774
11488212	5.718
6646	5.382
10801842	7.793
16387	10.654
11586	6.741
62472	6.741
16388	11.370
21108576	5.795
6480	5.834
23083	7.781
10628694	5.098
7892	8.518
71437	8.439
5644	8.822
10909	7.464
10918	7.464
8935	7.489
4510206	6.988
7757	9.680
13846749	6.780
2298886	10.185
6550	5.626
8341	5.989
7208	6.020
11882	9.778
4611	6.864
13835351	6.943
8374	7.825
70682	9.585
13492	8.629
13677	7.249
6739	5.989
17347	6.070
7875	9.680
11777	7.607
7310	6.910
11465	6.502
2157	6.981
8150	6.463
7302	7.182
7202	6.266
7042	6.150
6035	6.372
11776	9.124
10908	7.464
10850	7.464
556589	6.858
7299	7.481
8577	8.706
21106900	6.996
17652	8.151
5915	5.372
10106	9.547
63518	8.123
17868	6.513
6706	6.999
10851	7.464
11588	7.2
79969	7.786
6675	7.2
71193	6.570
2206	7.639
13867714	6.513
4445317	9.632
10849	7.464
11595	7.112
1906	6.165
6193	9.989
67270	6.570
16177	9.018
6033	6.570
6478	6.878
15517	6.573
10841	7.464
13574	8.236
8319	6.119
7964	9.281
15789876	12.198
21105699	6.513
13622	10.063
10829	7.464
11507	9.124
7585	11.028
6790	6.119
15495	8.194
13860	5.662
10831	7.464
56515	9.455
20124	7.375
744	5.457
10343	6.833
218253	7.830
454319	25.875
76154	7.518
33084	7.619
67414	15.967
220998	8.960
15867	9.652
7901	9.225
14627	5.749
21106570	8.747
10449	23.449
10813	7.464
199342	10.079
15755	7.732
15702	8.799
62484	8.161
4522053	8.790
8273	6.767
11883	10.485
8262	6.767
642951	7.798
15747	9.336
15524	7.732
13837303	9.357
305	6.428
230	5.967
14995	7.732
10733068	20.964
256210	5.749
33421	8.887
67470	7.732
33416	9.112
14994	7.732
15756	7.732
12938	9.467
6588	6.657
15475	7.732
7279	7.242
23886	8.887
14472	9.668
15476	7.732
42330	8.346
2991	7.682
12682	8.387
4762	9.161
361	5.852
6592	7.326
11884	9.725
15488	7.830
15478	7.732
21106573	8.728
11003	7.274
15489	7.830
15861	8.387
7155	6.818
64155	8.073
2627	8.837
24142	10.770
8073	7.501
44152	7.923
26325080	25.610
8916	11.551
4267	11.577
33455	8.887
15619	8.387
96749	6.238
18336	7.686
5236	7.235
440	6.407
2973	9.723
3173	10.473
2185	7.668
1361549	9.278
7915	9.932
30600	8.887
1438	9.494
15477	7.732
10437836	7.526
8120	8.841
26010	8.887
7152	7.115
13846658	7.143
8470	8.299
3544	9.527
15621	8.387
33934	8.887
7913	11.095
7994	9.948
2468	9.664
6840	7.734
12133	8.664
11632871	9.819
34863	9.943
63968	6.903
61739	6.359
68437	8.387
66895	9.538
26260	8.387
33932	8.887
33933	8.887
5027	8.390
192748	7.779
8282	6.359
5004	8.368
34188	9.943
13114	8.729
18280	14.002
12024	10.954
2068	7.235
6835	7.274
78998	11.140
72056	9.380
4626	11.661
2169	9.260
23115	10.881
6492	6.359
4103087	6.410
9824	7.527
15473	8.887
34664	9.943
9053802	10.803
37904	9.943
13856959	8.797
12586	10.443
5368	12.295
707	10.267
34665	9.943
17098	8.887
17099	8.887
84188	8.788
15620	8.387
8111	7.774
3210	11.215
49469	10.121
967	9.117
158870	8.788
2915	7.844
83330	11.527
157093	8.788
4768	10.130
34864	9.943
14993	10.078
8329	8.590
970	7.774
7917	10.640
136000	8.788
34866	9.943
83374	8.788
2297538	12.208
20848	10.183
457145	8.788
8067	9.803
37918	9.943
457140	8.788
34865	9.943
8241	10.771
14620	9.534
6593	7.119
21782117	13.883
135983	8.788
10540	11.899
25472	9.221
25605	9.943
6464	9.785
25677	11.0
136001	8.788
136003	8.788
34666	9.943
82753	8.859
10438331	8.653
2121	8.267
1278	7.513
4457	9.517
62265	7.058
11974	11.011
31991	9.765
481441	25.309
34867	9.943
84235	8.788
13087	11.0
2079	9.923
2424	8.183
5256	10.464
7315	8.498
15474	8.887
37915	9.943
40191	11.0
29348	11.105
26011	9.943
28287	9.552
62632	11.847
30932	9.685
22172	9.967
5899	8.358
2297441	9.298
37905	9.943
3987	10.216
33617	10.457
2283071	9.309
34830	12.585
16568	10.247
108106	21.290
69223	11.446
35581	11.0
23912	13.454
13302	9.644
4932499	9.309
3006	12.368
56793	11.0
13090	8.049
34868	9.943
10243	9.247
13850879	11.432
56791	11.0
14674	12.452
15729	10.655
8060	9.167
9040	10.012
34870	9.943
30881	10.241
17587	9.838
34869	9.943
457144	8.788
5807	8.685
9026	10.143
3008	9.355
4575	9.923
135925	8.788
4759	10.405
82777	11.0
34871	9.943
454495	11.0
6688	6.948
36319	11.251
533188	11.0
34872	9.943
10169	10.738
11891	11.347
56792	11.0
26325081	29.518
8058	8.460
20493	12.217
36278	10.956
35580	11.0
82755	9.845
82842	12.191
15417	10.196
46262	11.0
136002	8.788
28941	11.139
56123	11.846
5342	12.844
56784	9.943
16182	11.0
56785	11.0
56790	11.0
26563	10.935
13303	9.481
82765	12.056
82767	12.214
12705	10.351
14826	13.259
30816	11.925
16481	11.711
97173	9.845
102720	9.845
7051	12.705
21924	9.943
102721	9.845
33458	11.0
82818	11.0
3548	11.209
35579	11.0
38839	12.597
27749	9.630
34667	9.943
56795	11.0
56788	11.0
1994	11.958
8939	12.348
16482	12.120
36972	11.0
21106365	8.344
4760	11.221
34873	9.943
7967	12.683
559096	10.982
35582	11.0
56771	12.056
13520	12.335
56774	12.056
9873	8.752
3463	13.324
37744	12.056
12874	11.273
46893	11.0
82807	11.0
35081	12.056
56769	12.056
35584	11.0
3864	13.939
13300034	11.207
10292746	13.883
33829	11.145
102833	9.845
47912	11.0
13844817	11.630
82817	11.0
82762	9.845
2839	12.169
6842	9.068
82754	9.845
157094	9.845
3229	12.248
5237	8.030
82840	11.857
34189	11.0
16736498	13.964
7968	13.169
29117	8.457
33304	11.0
56794	11.0
13837319	12.185
457138	9.845
39406	12.056
56780	12.056
27793	9.845
106355	9.845
6767	9.795
34847	12.056
102897	9.845
2581	12.054
6417	12.639
103011	9.845
82712	9.845
56781	12.056
45444	12.056
102947	9.845
102933	9.845
33457	11.0
8287	11.114
33280	11.0
36029	12.333
46263	11.0
56777	12.056
33666	13.113
56787	11.0
16736486	14.588
102801	9.845
82873	15.102
8288	10.7
4025	12.828
17339596	10.639
33456	11.0
2629	13.632
33386	11.0
2003	13.475
6514	10.065
36973	12.056
97172	9.845
36974	12.056
82819	12.056
15572	13.178
102856	9.845
13115	12.250
8800	8.774
29153	8.774
35583	11.0
82820	12.056
45445	12.056
4886542	N/A
103066	9.845
46894	12.056
32873	13.884
35563	8.214
17684	12.994
44885	11.762
46710	12.695
33326	11.471
4745	10.479
26325088	11.377
56772	12.056
34848	12.056
56760	13.113
84346	13.113
26325085	11.429
28552	10.130
12364	13.258
56755	13.113
82796	11.695
35265	11.8
56789	11.0
4599	9.319
24638	11.220
56768	12.056
13328	13.732
