Compound Id	ChiPath [SP-2]
7670	4.364
13860335	2.912
19231	2.912
29005	3.390
7443	3.534
22191	3.523
7802	3.243
7389	3.293
7241	2.912
6179	3.521
7694	3.390
24972	3.873
62489	2.912
6286	3.664
7528	3.365
11660	3.534
62230	3.268
8568	3.597
7129	3.642
69371	5.298
10784857	N/A
21105871	3.377
13839082	3.365
63889	3.365
21109330	4.5
10937	3.239
7236	2.912
1577	2.390
122090	7.639
8909	2.828
11716	3.363
12231	3.239
10384035	3.293
6270	4.5
156255	2.885
7659	4.023
11409	3.430
6402	4.915
11919	2.914
7856	2.768
13257	3.365
21106036	4.803
13840690	2.912
7765	1.707
7538	3.363
71787	3.143
441	2.768
2606	3.521
11795	2.536
6287	4.061
14692	3.121
7223	2.912
7685	2.743
123860	3.121
7672	2.743
9970	3.097
13857694	3.377
16159	2.630
7088	4.701
28969	4.134
12069	3.243
11265	3.560
13648	3.642
13876539	3.293
7533	3.312
7131	3.642
7434	2.825
13866817	3.365
6977	3.873
13854136	3.239
447	3.430
13837760	3.239
13835151	3.365
191	4.072
7234	2.912
71628	2.825
7132	3.642
11087	2.743
18801	2.414
13837988	3.239
10696	9.364
76894	N/A
12456	3.121
12445	4.159
69569	7.639
12809	3.121
7138	3.642
10236	3.745
13863618	3.430
4446445	2.768
3954	2.871
55205	2.890
11021	3.534
14198	4.915
29026	2.768
5976	4.023
13875258	3.365
9903	3.736
7183	4.264
21181	2.656
13839416	2.414
7851	2.768
18410	3.646
13865680	3.430
21112023	4.264
503239	3.642
4878	3.377
932	2.768
12010	2.061
63908	3.534
5830	3.293
13839308	3.293
14680	2.414
28682	3.642
14169248	2.852
63310	4.250
11671339	7.066
391428	4.953
122446	3.675
238	3.642
7239	2.912
11863	2.414
2041618	N/A
13851576	2.912
13854248	3.239
10437215	3.646
8070	4.170
370	3.597
455090	3.642
11632	2.852
14840	3.121
2656	5.750
78828	7.553
10422	3.865
20939	4.264
69914	7.023
9976	3.390
73479	4.042
924	3.642
6883	3.784
5979	4.5
577	3.377
13658	4.381
21106366	4.134
7419	3.646
14299946	9.364
331	4.170
7448	3.703
7509	3.743
12632	3.597
61001	6.234
28982	3.534
11604	3.546
62534	3.915
62408	3.810
123207	3.365
75951	3.877
13837787	4.170
13839123	3.873
59483	7.023
18724	4.701
7850	2.768
13875432	3.377
8665	3.534
13839128	3.873
13875219	3.365
456015	2.912
55084	3.743
6974	3.239
8657	3.546
13849981	4.804
26824	10.023
72793	3.643
21106014	3.430
6296	5.019
14256731	5.287
