Compound Id	APol
7208	21.289
11882	41.550
4611	27.206
13835351	23.645
8374	30.299
70682	30.849
13492	36.216
13677	29.122
6739	23.736
17347	22.158
7875	38.727
11777	20.129
7310	25.879
11465	25.077
2157	24.382
8150	21.729
7302	28.590
7202	21.205
7042	20.764
6035	24.112
11776	21.710
10908	29.122
10850	29.122
556589	25.872
7299	30.882
8577	35.169
21106900	24.914
17652	23.172
5915	20.656
10106	36.681
63518	32.591
17868	25.134
6706	21.110
10851	29.122
11588	22.608
79969	30.299
6675	22.608
71193	23.925
2206	26.688
13867714	25.134
4445317	37.018
10849	29.122
11595	25.879
1906	22.785
6193	35.090
67270	23.925
16177	37.556
6033	23.925
6478	27.788
15517	23.212
10841	29.122
13574	27.640
8319	24.701
7964	31.997
15789876	45.079
21105699	25.134
13622	43.310
10829	29.122
11507	21.710
7585	40.290
6790	24.701
15495	31.101
13860	21.356
10831	29.122
56515	32.860
20124	23.991
744	18.436
10343	22.531
218253	29.301
454319	58.594
76154	27.019
33084	25.935
67414	59.670
220998	35.271
15867	33.384
7901	39.259
14627	22.410
21106570	22.127
10449	82.217
10813	29.122
199342	38.778
15755	25.961
15702	29.608
62484	25.702
4522053	30.395
8273	24.972
11883	44.644
8262	24.972
642951	24.569
15747	39.309
15524	25.961
13837303	33.663
305	21.508
230	20.706
14995	25.961
10733068	77.314
256210	22.410
33421	30.814
67470	25.961
33416	34.946
14994	25.961
15756	25.961
12938	32.398
6588	24.972
15475	25.961
7279	26.844
23886	30.814
14472	24.753
15476	25.961
42330	29.781
2991	30.350
12682	32.215
4762	32.777
361	20.331
6592	29.548
11884	40.650
15488	29.301
15478	25.961
21106573	22.651
11003	29.555
15489	29.301
15861	32.215
7155	21.999
64155	28.972
2627	30.486
24142	46.404
8073	23.766
44152	28.448
26325080	92.455
8916	38.585
4267	29.006
33455	30.814
15619	32.215
96749	23.374
18336	27.814
5236	23.658
440	24.707
2973	29.738
3173	37.783
2185	29.988
1361549	37.444
7915	42.352
30600	30.814
1438	22.512
15477	25.961
10437836	26.326
8120	27.940
26010	30.814
7152	21.391
13846658	28.590
8470	28.357
3544	36.486
15621	32.215
33934	30.814
7913	44.914
7994	31.940
2468	34.628
6840	30.350
12133	30.384
11632871	38.039
34863	32.328
63968	27.263
61739	24.538
68437	32.215
66895	38.778
26260	32.215
33932	30.814
33933	30.814
5027	28.002
192748	25.093
8282	24.538
5004	32.810
34188	32.328
13114	30.290
18280	44.486
12024	34.496
2068	23.658
6835	29.555
78998	46.837
72056	40.061
4626	37.589
2169	31.095
23115	38.585
6492	24.538
4103087	21.204
9824	29.016
15473	30.814
34664	32.328
9053802	45.446
37904	32.328
13856959	34.246
12586	43.555
5368	41.728
707	27.641
34665	32.328
17098	30.814
17099	30.814
84188	27.474
15620	32.215
8111	31.308
3210	44.539
49469	35.339
967	22.929
158870	27.474
2915	29.354
83330	43.638
157093	27.474
4768	34.189
34864	32.328
14993	26.022
8329	32.912
970	31.308
7917	45.446
136000	27.474
34866	32.328
83374	27.474
2297538	41.189
20848	34.189
457145	27.474
8067	23.64
37918	32.328
457140	27.474
34865	32.328
8241	39.850
14620	33.477
6593	28.221
21782117	40.336
135983	27.474
10540	50.831
25472	31.450
25605	32.328
6464	24.164
25677	33.841
136001	27.474
136003	27.474
34666	32.328
82753	33.088
10438331	27.355
2121	30.364
1278	28.654
4457	33.2
62265	23.326
11974	24.094
31991	34.966
481441	85.775
34867	32.328
84235	27.474
13087	37.834
2079	35.968
2424	26.752
5256	32.362
7315	31.954
15474	30.814
37915	32.328
40191	33.841
29348	37.366
26011	32.328
28287	31.517
62632	49.931
30932	36.831
22172	34.189
5899	31.159
2297441	30.255
37905	32.328
3987	32.388
33617	36.571
2283071	35.309
34830	40.873
16568	35.768
108106	79.560
69223	30.460
35581	33.841
23912	43.777
13302	32.482
4932499	35.309
3006	40.683
56793	33.841
13090	31.490
34868	32.328
10243	23.894
13850879	40.070
56791	33.841
14674	42.413
15729	36.570
8060	35.048
9040	31.362
34870	32.328
30881	36.571
17587	34.246
34869	32.328
457144	27.474
5807	30.854
9026	36.477
3008	29.870
4575	35.968
135925	27.474
4759	36.571
82777	33.841
34871	32.328
454495	33.841
6688	21.474
36319	39.766
533188	33.841
34872	32.328
10169	44.109
11891	48.539
56792	33.841
26325081	106.158
8058	31.954
20493	33.564
36278	34.987
35580	33.841
82755	28.987
82842	40.906
15417	34.966
46262	33.841
136002	27.474
28941	35.482
56123	39.234
5342	39.611
56784	32.328
16182	33.841
56785	33.841
56790	33.841
26563	41.935
13303	32.482
82765	35.354
82767	36.471
12705	35.575
14826	33.544
30816	41.792
16481	38.391
97173	28.987
102720	28.987
7051	39.564
21924	32.328
102721	28.987
33458	33.841
82818	33.841
3548	42.311
35579	33.841
38839	44.711
27749	32.252
34667	32.328
56795	33.841
56788	33.841
1994	42.860
8939	34.890
16482	39.193
36972	33.841
21106365	31.121
4760	38.669
34873	32.328
7967	32.660
559096	45.937
35582	33.841
56771	35.354
13520	37.696
56774	35.354
9873	31.916
3463	36.194
37744	35.354
12874	38.669
46893	33.841
82807	33.841
35081	35.354
56769	35.354
35584	33.841
3864	44.511
13300034	35.174
10292746	40.336
33829	38.771
102833	28.987
47912	33.841
13844817	38.575
82817	33.841
82762	28.987
2839	33.529
6842	32.254
82754	28.987
157094	28.987
3229	39.438
5237	27.801
82840	42.951
34189	33.841
16736498	38.227
7968	34.795
29117	32.292
33304	33.841
56794	33.841
13837319	46.037
457138	28.987
39406	35.354
56780	35.354
27793	28.987
106355	28.987
6767	33.376
34847	35.354
102897	28.987
2581	51.633
6417	42.852
103011	28.987
82712	28.987
56781	35.354
45444	35.354
102947	28.987
102933	28.987
33457	33.841
8287	33.318
33280	33.841
36029	42.393
46263	33.841
56777	35.354
33666	36.867
56787	33.841
16736486	39.041
102801	28.987
82873	48.984
8288	30.651
4025	45.953
17339596	32.767
33456	33.841
2629	39.751
33386	33.841
2003	39.534
6514	37.766
36973	35.354
97172	28.987
36974	35.354
82819	35.354
15572	35.760
102856	28.987
13115	35.633
8800	34.828
29153	34.828
35583	33.841
82820	35.354
45445	35.354
4886542	33.022
103066	28.987
46894	35.354
32873	51.143
35563	29.470
17684	34.282
44885	41.591
