Compound Id	ALOGP [ALogP]
9040	-0.074
34870	2.233
30881	-0.776
17587	0.799
34869	2.233
457144	2.233
5807	-2.294
9026	1.267
3008	1.065
4575	-0.785
135925	2.233
4759	-0.788
82777	2.977
34871	2.233
454495	2.977
6688	1.520
36319	1.163
533188	2.977
34872	2.233
10169	0.066
11891	-4.141
56792	2.977
26325081	9.387
8058	-0.551
20493	3.027
36278	2.143
35580	2.977
82755	2.977
82842	1.540
15417	1.995
46262	2.977
136002	2.233
28941	2.307
56123	4.821
5342	2.407
56784	2.233
16182	2.977
56785	2.977
56790	2.977
26563	-0.785
13303	0.558
82765	3.722
82767	3.136
12705	0.257
14826	3.868
30816	0.8
16481	1.901
97173	2.977
102720	2.977
7051	2.994
21924	2.233
102721	2.977
33458	2.977
82818	2.977
3548	1.166
35579	2.977
38839	0.301
27749	0.269
34667	2.233
56795	2.977
56788	2.977
1994	0.475
8939	3.238
16482	1.997
36972	2.977
21106365	0.170
4760	-0.043
34873	2.233
7967	2.707
559096	-2.306
35582	2.977
56771	3.722
13520	2.160
56774	3.722
9873	0.327
3463	4.033
37744	3.722
12874	1.238
46893	2.977
82807	2.977
35081	3.722
56769	3.722
35584	2.977
3864	1.964
13300034	3.003
10292746	2.338
33829	1.935
102833	2.977
47912	2.977
13844817	2.166
82817	2.977
82762	2.977
2839	3.0
6842	1.181
82754	2.977
157094	2.977
3229	2.340
5237	0.591
82840	0.365
34189	2.977
16736498	2.166
7968	2.442
29117	-0.425
33304	2.977
56794	2.977
13837319	-1.208
457138	2.977
39406	3.722
56780	3.722
27793	2.977
106355	2.977
6767	1.225
34847	3.722
102897	2.977
2581	-4.429
6417	3.906
103011	2.977
82712	2.977
56781	3.722
45444	3.722
102947	2.977
102933	2.977
33457	2.977
8287	3.234
33280	2.977
36029	2.033
46263	2.977
56777	3.722
33666	4.466
56787	2.977
16736486	4.243
102801	2.977
82873	3.032
8288	2.931
4025	0.817
17339596	-0.081
33456	2.977
2629	3.528
33386	2.977
2003	3.061
6514	-0.221
36973	3.722
97172	2.977
36974	3.722
82819	3.722
15572	3.382
102856	2.977
13115	2.731
8800	0.0
29153	0.0
35583	2.977
82820	3.722
45445	3.722
4886542	0.009
103066	2.977
46894	3.722
32873	-0.276
35563	-1.291
17684	3.333
44885	1.210
46710	1.697
33326	1.731
4745	-0.099
26325088	-2.374
56772	3.722
34848	3.722
56760	4.466
84346	4.466
26325085	-2.685
28552	0.440
12364	2.802
56755	4.466
82796	1.226
35265	1.660
56789	2.977
4599	-0.938
24638	0.425
56768	3.722
13328	3.038
4437893	0.282
6371	-0.006
56778	3.722
3277	0.535
4526760	2.411
21568	0.329
96948	3.722
16415	3.722
193215	3.061
26325087	-2.374
37779	3.722
56779	3.722
11274	0.660
35585	3.722
84344	3.722
56786	2.977
82797	1.195
5363	1.618
541032	1.746
31129	3.642
37749	1.781
56776	3.722
46264	2.977
83413	4.466
43354	3.722
457139	2.977
21429023	4.243
97055	3.722
4927801	4.989
34859	4.466
7260	0.923
19939	0.715
56756	4.466
4719431	2.654
102798	2.977
36976	4.466
45446	3.722
56767	4.466
8093	-0.881
29631	4.839
34850	3.722
14348	-4.717
559213	2.517
6453	0.217
84345	3.722
56766	4.466
102722	3.722
33281	2.977
1262	0.003
36975	3.722
154865	3.722
102741	3.722
26325082	10.399
32555	-3.796
82740	4.466
215802	2.741
30459	0.623
23977588	2.166
4333	0.438
18941	0.207
97198	3.722
37019	4.466
82783	4.466
37000	4.466
39198	4.466
56765	4.466
46285	3.722
4938407	2.166
46284	3.722
82806	3.722
19722	3.883
34116	2.028
34668	3.722
34851	4.466
56773	3.722
82798	1.906
29282	0.779
47913	3.722
5772	4.243
28827	1.097
26915	3.914
6066	-1.505
32952	3.722
48518	0.335
84347	4.466
75956	-0.678
102857	3.722
43353	3.722
83414	5.210
2940	2.338
18445	1.324
25304	-0.189
102787	3.722
18444	1.228
15010	1.995
82823	5.210
83411	0.5
102742	3.722
34190	4.466
56761	4.466
47914	4.466
102743	3.722
66326	3.135
56559	-3.364
35529	2.220
36710	4.466
7991	1.087
33832	2.975
34852	4.466
2927	2.741
154866	3.722
35588	-0.790
59833	0.499
12730	-0.412
8243	-1.784
15699	-2.386
64559	1.330
56023	4.020
56782	5.210
549017	4.466
97240	3.722
33282	3.722
20545	-2.832
36977	5.210
4066	2.654
2457	-0.160
77706	0.362
4813314	0.353
56770	3.722
29847	1.519
56763	4.466
56757	4.466
102834	3.722
7928	-5.005
4939096	2.166
36771	4.466
56764	4.466
9817	2.575
36978	4.466
34191	4.466
84348	5.210
45678	1.607
7929	-5.081
82738	5.210
37994	-0.095
