Compound Id	KierHallSmarts [khs.dssC]
60108	2
63575	1
6464	0
2710	0
2839	2
14916	1
65648	0
8353	0
10009	1
11917	0
21106505	2
191496	2
60919	0
18983	0
21242790	0
4586	0
2810	2
11325	0
11271	0
1912	2
61577	0
14430	0
3521	0
9815	0
7970	0
67509	0
14979	0
17987	0
38123	1
3322	1
4478521	2
62645	2
64377	0
4433	0
10259	1
11387	1
4355	1
10442653	3
7155	1
11310	0
10248513	2
59493	0
73276	0
15209	0
66498	0
29343	2
3472	0
48922	3
4600	1
29156	2
6232	2
10696	0
61266	0
21965	0
62468	1
59489	0
3438	1
5437	2
3584	2
15968	1
11309	0
13153	0
11380	1
62217	1
31872	2
64024	0
14960	0
5075	2
9426	0
2562	0
8177	0
8073	0
6688	0
4514715	4
15521	2
3039	2
2160	0
68961	0
24584	1
68224	0
15484	0
13842838	0
1904	3
3618	2
13764	0
9180	1
3368	2
258050	0
7974	0
29054	1
9018	0
30913	0
5423	1
9028	0
2867	5
10581	7
10674	3
5515	2
6208	0
