Compound Id	AutocorrelationCharge [ATSc1]
5237	0.221
13846015	0.774
7069	0.369
67479	0.373
13882366	0.120
7098	0.330
2656	0.154
61311	0.385
21105876	0.167
7097	0.281
10287	0.003
21159574	0.120
22012	0.188
29023	0.268
66369	0.0
7091	0.174
13835351	0.492
71995	0.192
83338	0.027
17879	0.001
20971	0.225
21112533	0.438
76852	0.301
61383	0.090
16951	0.362
11897	0.0
9571	0.203
7325	0.336
12691	0.265
11373	0.1
61273	0.339
10407	0.027
70450	0.194
10425	0.120
10609	0.1
2388	0.293
70652	0.362
21159598	0.626
6716	0.116
9961	0.026
14582	0.070
960	0.192
11898	0.083
11421	0.356
21106172	0.224
6575	0.089
6916	0.342
71926	0.204
73945	0.044
9089	0.085
10289059	0.317
6825	0.263
11961	0.166
19862	0.303
15092	0.232
12524	0.0
12667	0.188
21168862	0.151
71672	0.307
70048	0.344
7311	0.307
62914	0.182
8807	0.003
15105	0.631
21111772	0.166
16208	0.233
6872	0.542
2915	0.025
8099	0.324
67953	0.140
62933	0.202
60263	0.386
19739	0.384
59146	0.168
60357	0.461
2179	0.384
25604	0.158
14585	0.009
19331	0.662
69970	0.160
15998	0.001
10363	0.190
72174	0.190
61561	0.403
63211	0.663
21106171	0.122
6823	0.209
532	0.359
6552	0.373
6033	0.167
2923	0.192
65785	0.353
454393	0.172
73131	0.275
5142	0.195
13846658	0.075
18708	0.318
10256	0.389
9075	0.316
65715	0.245
11580	0.321
6705	0.366
12114	0.437
15308	0.559
68579	0.264
15088	0.286
4444774	0.342
6928	0.535
6550	0.287
11595	0.284
616466	0.135
1103	0.345
19099	0.427
29090	0.550
21168888	0.514
7100	0.0
6655	0.301
12941	0.701
4445872	0.195
13837329	0.553
62501	0.0
7138	0.065
11437	0.0
6781	0.250
7914	0.158
66675	0
21169500	0.237
7889	0.277
205386	0.268
21733	0.240
12515	0.0
21170956	0.188
62372	0.139
11899	0.0
5374	0.463
67895	0.352
29002	0.492
21168556	0.471
8836	0.062
16109	0.075
61759	0.548
21106571	0.182
7103	0.167
60596	0.150
8862	0.191
10033	0.192
14414	0.076
11969	0.542
66759	0.006
66460	0.497
6770	0.075
6901	0.261
7119	0.174
61388	0.1
8662	0.023
21111849	0.137
63350	0.359
68350	0.209
70962	0.120
21106124	0.138
12291	0.213
59892	0.053
12696	0.235
19526	0.178
21159439	0.075
8434	0.186
7121	0.183
6757	0.279
70660	0.532
62756	0.434
16096	0.254
6834	0.027
4775	0.489
16644	0.250
7427	0.341
3581	0.148
970	0.0
6840	0.159
13493	0.152
3915	0.243
8860	0.060
11013	0.434
6592	0.0
11447	0.0
5004	0.384
5820	0.321
21106163	0.181
12274	0.371
5899	0.320
60188	0.208
78873	0.337
11475	0.440
6235	0.265
10801689	0.278
10582	0.122
11398	0.250
745600	0.308
9413	0.385
6586	0.190
64143	0.112
328957	0.390
13699	0.128
11974	0.121
17097	0.281
6856	0.190
13693	0.536
21106365	0.090
5606	0.273
12275	0.187
18	0.367
67788	0.145
5612	0.279
10986	0.310
12236	0.215
61560	0.585
61352	0.375
6845	0.151
8182	0.380
21171396	0.718
11472	0.259
24499	0.243
61101	0.349
21106146	0.065
6768	0.040
60012	0.244
7284	0.186
13856885	0.151
19816	0.0
6386	0.267
68220	0.294
28952	0.379
8058	0.346
6771	0.190
21159597	0.621
2991	0.118
12017	0.0
67790	0.156
72806	0.790
7120	0.214
13863774	0.065
74935	0.386
12307	0.118
62631	0.121
16896	0.296
10235	0.146
