Compound Id	BCUT [BCUTp-1l]
258907	4.66471
10894	6.99623
21159611	4.23158
14918	4.57390
12690	4.67598
61763	6.09004
19669	4.59612
60464	3.88696
60093	3.97591
7662	6.37419
53706	4.23914
11332993	4.23109
21106121	4.80255
13868642	6.47562
6828	6.63690
70309	5.99938
13867714	6.44930
10248	5.30153
79453	4.38611
12669	5.24063
59562	7.01316
6878	6.77099
7199	3.86845
21112367	3.86366
39404	4.51263
9454	3.88061
9218	4.09869
11781	3.82411
17347	6.79284
11638	3.71814
7740	5.23557
217532	3.90169
70512	4.21190
12244	5.22293
60032	7.06934
62536	3.95459
72274	4.39909
6950	5.76112
18107	3.60514
11971	3.97615
8998	5.28584
1928	3.71547
10977	4.11104
91446	3.97471
11585	4.39077
11589	4.10128
62484	4.52555
63310	4.38327
11776	7.82044
23422	5.23861
10380	4.38054
7176	4.37141
8382	6.47378
88942	4.42079
638258	5.47413
13036	5.66102
6724	4.50935
11289	4.27812
11626	4.20650
13846959	3.50418
10396	4.02789
10243171	4.21144
124	3.88939
191	3.69384
9225	3.96634
81061	4.54665
10972	4.23690
11369	7.63337
11773	4.18012
10297844	4.20882
6482	4.17974
11576	4.16023
10256859	4.38644
73183	6.06547
68122	4.15499
5593	6.28811
11587	4.41321
608157	7.15909
68837	4.08898
5878	5.18093
10181338	4.05713
13257	4.14578
62884	4.44937
75095	4.15594
1446	4.11585
20160	4.65865
62307	5.36110
2005830	4.55594
6079	4.10346
10980	4.13962
13866746	3.77013
61190	3.42375
31082	6.16115
58333	4.54464
6942	5.86631
7301	6.89077
21112244	6.27712
63002	4.01460
12045	6.16270
15603	6.07081
7300	6.43105
8187	4.84621
15410	6.23924
67145	6.58138
63057	5.59798
7925	5.12410
21111810	6.13614
62633	4.32371
7302	6.49845
11372	3.31474
67268	4.11781
16913	5.127
67803	4.02436
11573	4.55127
11895	5.11735
21278	4.81134
21159579	5.72275
6585	4.42357
65704	4.48001
6957	6.17139
55242	4.11509
11353	6.38507
124512	4.53511
61790	4.88237
21106584	4.27977
10966	4.98235
13669	4.41784
21106577	3.97847
73763	3.93249
59691	4.84750
12047	5.96544
21108577	4.39106
6748	6.19178
21105998	5.38012
510851	3.28997
10621	4.529
60092	4.00120
62483	5.25339
11003	6.57589
6835	5.60444
72918	5.60329
15016	4.75769
12259	6.47453
63503	6.88128
10539	3.72159
11354	6.15068
11488	4.44181
62656	6.19982
21111840	4.16184
13029	5.81668
66663	4.15363
13839012	5.37908
7928	3.94566
60259	4.19907
5966	3.93847
73125	4.33850
32882	4.01981
11450	4.25605
12586	4.57721
13668	5.92286
77230	6.51694
7001	5.44993
