Compound Id	ChiPath [SP-1]
34854	8.414
46136	8.414
82736	8.397
56759	8.397
36984	8.397
6621	4.877
17347	4.605
15517	5.715
56775	7.986
56770	7.969
11283	9.449
36029	9.376
35206	9.679
64155	6.147
34192	9.252
82822	9.252
8763	10.916
8804	9.916
5557	10.613
75956	9.466
6775	4.881
2246	9.916
5113	12.288
26325182	7.503
11672	4.864
105291	4.198
35108	8.824
29117	7.210
33316	8.397
5678	10.899
156255	3.305
18336	5.989
4449	3.805
12549	9.816
374462	2.805
13662	4.698
10437239	4.736
8351654	4.198
83191	11.343
5774	11.881
5145918	11.399
58496	15.255
92468	12.881
11439687	7.182
92494	12.381
91432	9.520
8124942	11.558
24722	12.933
133166	10.987
8101973	10.558
509179	10.966
67594	7.210
4228778	10.881
10162	14.566
4444479	14.708
4444107	10.926
21108577	5.774
5552	12.171
21486195	17.129
4911	10.465
75995	15.933
2424	6.537
4444362	20.277
14441700	2.561
23055	2.561
14829	2.0
6093	1.414
13848808	5.253
21105897	5.753
6898	5.698
4268	8.041
8058	7.771
8060	8.271
7566	1.914
62310	6.253
6338	2.270
10498	2.414
6057	8.575
21105848	5.291
518	N/A
7546	2.432
7013	2.808
10292746	8.776
13835550	1.914
6128	1.732
175	1.732
6745	5.753
10343	6.430
2041618	N/A
10784857	N/A
274	1.414
6106	1.414
62826	3.504
8543	2.414
6630	4.215
13837787	4.715
10772140	2.270
6148	2.0
62589	3.394
7686	3.394
56144	4.193
7791	3.0
6105	1.414
13837537	3.0
21106570	5.037
6135	1.732
2927	8.575
8262	6.326
3548	8.079
11434292	N/A
7624	3.126
38403	4.337
2282428	2.943
9251	2.943
13571291	1.914
71312	2.943
11153	1.414
3973	3.504
75951	4.664
68832	3.664
92731	3.887
6102	1.414
76894	N/A
4624	9.469
7794	4.126
70850	2.270
11811	2.414
7777	2.914
15482	5.414
7856	4.414
8562	3.414
7730	2.414
654	1.414
2062437	2.943
13837280	2.270
72551	5.164
7630	3.126
23208	1.414
11864	3.914
11845	3.414
454215	2.943
9254	2.943
9253	2.943
83734	2.943
553742	1.914
15077490	2.943
2018460	3.481
22191	4.164
72793	4.702
12442	1.914
2018165	2.270
7406	5.720
2271976	10.686
1448	6.020
21782117	8.776
12209	2.914
9286	2.643
391	0.0
4514529	0.0
16641	1.414
6125	1.732
6104	1.414
11911	2.561
6119	1.732
7551	1.914
15427	4.932
9256	2.943
4444553	10.819
10652594	N/A
21106179	1.732
71390	1.732
107412	3.504
558928	1.914
24641	5.202
2916	1.414
558875	1.914
2297441	7.151
29282	8.062
9120	6.020
12730	8.651
4471584	10.426
9088156	6.975
12456	4.914
17880	4.414
11806	2.414
7558	1.914
6095	1.414
6086	1.0
2293678	2.943
10364	3.932
29036	1.732
21111822	3.788
7681	3.394
13863618	4.343
12874	7.442
59483	5.121
2056044	5.065
3441	2.943
13638	4.0
11154	1.414
6326	2.270
10801842	4.757
4768	6.969
6774	5.291
20848	6.904
5932	11.398
10756	5.044
61149	5.137
6130	1.732
5977	1.732
13838404	1.732
7223	3.932
15495	6.753
5198	10.075
21105594	18.652
58234	4.983
21105591	16.781
12577	2.561
6145	2.0
6310	2.270
7606	2.770
23255	2.270
6123	1.732
8576	5.414
7851	4.414
15387	4.914
7811	3.414
7835	3.914
7769	2.914
7716	2.414
7564	1.914
6101	1.414
6089	1.0
217	0.0
13835977	1.914
7703	3.270
60329	2.914
7727	2.414
1609	2.914
6342	2.643
13869414	4.326
21106077	19.546
10481872	16.715
6179	2.943
7234	3.932
18941	8.007
4760	7.507
12705	7.151
11003	6.449
2169	6.613
10837	6.037
6916	6.736
8093	7.788
8030	7.788
12197	1.914
30713	2.643
6790	5.360
5027	6.258
552744	2.770
21112738	1.914
7677	3.394
48024	3.394
8319	5.377
26286843	9.503
29040	2.943
6132	1.732
6301	4.977
13850142	4.999
390927	4.999
19709	5.198
60121	4.843
13869434	4.198
13869462	4.198
13840647	4.215
13860491	4.198
9349	3.788
14620	7.151
14916	8.592
992	5.626
9016	2.943
8935	5.753
21106519	5.326
12133	6.796
4103087	6.430
5376	10.083
2760	13.526
9786472	14.564
196288	15.564
139025	16.564
60858	7.788
12933	6.743
10181341	4.788
7736	2.5
447	4.343
4759	7.507
33617	7.442
30881	7.689
4447447	10.664
28552	7.465
3438	12.460
3544	7.003
4444102	9.952
21106059	14.855
10675065	4.037
4514586	0.0
13854944	2.770
13860641	4.343
13853758	4.698
21159695	4.826
21106525	4.326
13854136	3.805
13835151	3.788
10991	4.326
13860692	3.788
29008	2.5
13860775	4.343
4745	8.168
13303	6.796
7466	3.308
11699	4.308
4366810	5.164
10422	4.664
11695	3.808
13869480	4.326
