Compound Id	PetitjeanShapeIndex [topoShape]
71312	0.5
11153	1.0
3973	1.0
75951	0.75
68832	0.667
92731	1.0
6102	1.0
76894	1.0
4624	1.0
7794	1.0
70850	0.5
11811	1.0
7777	0.667
15482	1.0
7856	1.0
8562	1.0
7730	1.0
654	1.0
2062437	0.5
13837280	0.5
72551	1.0
7630	1.0
23208	1.0
11864	0.75
11845	1.0
454215	0.5
9254	0.5
9253	0.5
83734	0.5
553742	0.5
15077490	0.5
2018460	1.0
22191	1.0
72793	0.75
12442	0.5
2018165	0.5
7406	1.0
2271976	0.833
1448	1.0
21782117	0.5
12209	0.667
9286	0.5
391	N/A
4514529	N/A
16641	1.0
6125	1.0
6104	1.0
11911	0.5
6119	1.0
7551	0.5
15427	0.75
9256	0.5
4444553	0.833
10652594	0.2
21106179	1.0
71390	1.0
107412	1.0
558928	0.5
24641	1.0
2916	1.0
558875	0.5
2297441	0.6
29282	0.8
9120	0.75
12730	0.833
4471584	1.0
9088156	0.75
12456	0.8
17880	1.0
11806	1.0
7558	0.5
6095	1.0
6086	0.0
2293678	0.5
10364	0.667
29036	1.0
21111822	0.667
7681	0.333
13863618	0.667
12874	0.6
59483	0.333
2056044	0.667
3441	0.5
13638	0.0
11154	1.0
6326	0.5
10801842	1.0
4768	1.0
6774	1.0
20848	1.0
5932	1.0
10756	1.0
61149	0.667
6130	1.0
5977	1.0
13838404	1.0
7223	0.667
15495	0.8
5198	1.0
21105594	0.857
58234	1.0
21105591	1.0
12577	0.5
6145	1.0
6310	0.5
7606	1.0
23255	0.5
6123	1.0
8576	1.0
7851	1.0
15387	0.8
7811	1.0
7835	0.75
7769	0.667
7716	1.0
7564	0.5
6101	1.0
6089	0.0
217	N/A
13835977	0.5
7703	0.667
60329	0.667
7727	1.0
1609	0.667
6342	0.5
13869414	1.0
21106077	1.0
10481872	0.857
6179	0.5
7234	0.667
18941	0.6
4760	0.6
12705	0.6
11003	1.0
2169	1.0
10837	1.0
6916	1.0
8093	0.8
8030	1.0
12197	0.5
30713	0.5
6790	1.0
5027	1.0
552744	1.0
21112738	0.5
7677	0.333
48024	0.333
8319	0.667
26286843	1.0
29040	0.5
6132	1.0
6301	0.75
13850142	1.0
390927	1.0
19709	1.0
60121	1.0
13869434	0.667
13869462	0.667
13840647	0.333
13860491	0.667
9349	0.667
14620	0.6
14916	0.8
992	0.667
9016	0.5
8935	0.75
21106519	1.0
12133	0.6
4103087	0.5
5376	0.833
2760	1.0
9786472	1.0
196288	1.0
139025	1.0
60858	0.8
12933	0.75
10181341	1.0
7736	0.0
447	0.667
4759	0.6
33617	0.6
30881	0.8
4447447	0.8
28552	0.8
3438	0.889
3544	0.8
4444102	1.0
21106059	1.0
10675065	0.667
4514586	N/A
13854944	1.0
13860641	0.667
13853758	1.0
21159695	0.75
21106525	1.0
13854136	0.333
13835151	0.667
10991	0.667
13860692	0.333
29008	0.0
13860775	0.667
4745	0.833
13303	0.6
7466	0.667
11699	0.75
4366810	1.0
10422	0.75
11695	1.0
13869480	0.667
10892	0.667
13849981	0.75
15093	0.75
206493	1.0
13842001	0.667
13854248	0.333
11961	0.667
6002	0.833
7480	0.333
21106058	1.0
13836399	0.75
5889	0.333
299166	1.0
6835	1.0
3534	0.833
5162	0.833
75662	1.0
21106365	0.75
499714	1.0
558917	1.0
11629	0.75
14627	0.667
512621	1.0
3693	1.0
5026296	1.0
13836021	1.0
1087	1.0
4514549	N/A
13302	0.75
256210	1.0
13849989	1.0
15016	1.0
13836591	0.667
2654	0.833
13856352	1.0
15520	0.889
3841535	0.833
18717	1.0
455353	1.0
16778	1.0
7705	0.667
7728	1.0
59447	0.333
7528	0.667
13835459	0.0
13848467	0.75
13869451	0.333
13871489	0.8
13869339	0.667
13860817	0.667
21111772	0.667
13853943	0.667
21106518	0.667
6658	0.667
11369	0.667
11180	0.5
11739	0.667
11056	1.0
6146	1.0
11194	1.0
6165	0.5
11216	0.667
62230	0.667
11210	1.0
11732	1.0
7459	0.667
11024	0.667
5830	1.0
57726	0.333
72556	1.0
11610	0.75
124	0.75
238	0.667
15803	1.0
7026	0.5
7678	0.333
9970	0.333
13837686	0.333
10008	0.333
6807	1.0
21108576	1.0
11488212	1.0
27749	0.8
3216	0.8
4470736	0.857
4343	1.0
8103122	0.8
3652	0.8
49179	0.857
5791	1.0
70660	0.75
15954	0.667
11819	0.667
7622	1.0
99440	1.0
11239	0.5
11543	0.667
10790	1.0
15486	0.8
18920	0.75
11861	1.0
123993	0.667
11036	1.0
11029	1.0
11794	0.667
10511	1.0
21011	1.0
11678	0.667
3644	1.0
6320	0.5
10947	1.0
10787	1.0
11793	0.667
7236	0.667
55443	0.8
453675	1.0
69340	1.0
10992	0.667
5439	1.0
71193	1.0
2700	0.8
10251740	1.0
7190	1.0
11525	1.0
4481813	0.5
13871721	1.0
6974	0.333
16804	0.25
11778	0.333
11954	0.667
13860720	0.667
76394	1.0
7131	0.667
13876103	0.75
13871718	0.75
4575338	1.0
2937774	1.0
206561	0.75
7310	1.0
5233	0.8
197564	1.0
193441	1.0
9579	1.0
7533	0.667
6164	0.5
56559	0.889
9053802	0.857
29000	1.0
7434	1.0
6312	0.5
8398	1.0
11898	1.0
72522	0.9
7928	1.0
14348	0.889
2581	1.0
11891	0.875
7917	1.0
7915	0.857
7901	1.0
7892	0.833
7882	1.0
8574	0.8
932	1.0
7812	1.0
7837	0.75
6040	0.667
258	1.0
1004	0.5
682	1.0
