Compound Id	ZagrebIndex
13839174	42.0
11021	40.0
8960	2.0
11465	48.0
4590	58.0
2157	60.0
11809	14.0
748	2.0
12823	40.0
10328	36.0
120621	26.0
12445	34.0
20119	24.0
6334	16.0
55205	28.0
13816	20.0
26765	24.0
192642	26.0
122446	34.0
21181	28.0
28994	10.0
11460	44.0
7145	46.0
6550	58.0
106796	118.0
5550	146.0
5633	150.0
13860335	34.0
24099	18.0
15702	78.0
10996	60.0
7279	54.0
5091	76.0
1262	86.0
880	44.0
13837702	18.0
21106535	20.0
12225	26.0
773	20.0
864	2.0
415	14.0
1141	36.0
1664	30.0
21361761	82.0
21105998	52.0
12640	26.0
6480	52.0
10437210	46.0
776	46.0
8273	66.0
7397	44.0
71787	30.0
4777	92.0
9219586	122.0
2457	96.0
1266393	24.0
7021	20.0
11694	28.0
11244	22.0
13850879	82.0
6600	70.0
62964	94.0
3322	108.0
13047	54.0
10438331	72.0
5976	42.0
13846959	46.0
6688	78.0
5542	168.0
19232037	172.0
19232038	180.0
18547147	184.0
21587143	192.0
11286	74.0
8070	46.0
55091	30.0
733	20.0
25472	66.0
18801	26.0
68156	22.0
10857	42.0
589165	44.0
6610	78.0
8470	60.0
953	46.0
6593	72.0
21105870	42.0
63889	36.0
123207	36.0
123	40.0
2241	40.0
62466	46.0
62485	46.0
63968	64.0
13839128	42.0
83866	36.0
18707	42.0
7961	24.0
4450907	132.0
10254	46.0
62467	46.0
5236	70.0
5660	118.0
305	58.0
3741	82.0
12244	48.0
13839151	42.0
13257	36.0
32555	96.0
13835336	10.0
13835861	24.0
73479	46.0
13839123	42.0
9911	48.0
13865680	40.0
11604	40.0
13835772	36.0
61538	48.0
194092	50.0
8528	36.0
3008	66.0
7140	46.0
4611	52.0
21105859	44.0
13846658	64.0
66567	56.0
8140	42.0
1019	20.0
67465	56.0
79280	52.0
5807	88.0
11595	56.0
2068	70.0
6646	40.0
7443	40.0
83850	36.0
12060	44.0
14678	48.0
61411	54.0
28982	40.0
6330	16.0
11795	24.0
173	12.0
67270	54.0
6033	54.0
7092	48.0
58563	46.0
2925	94.0
8341	56.0
13839105	42.0
65	42.0
13846663	54.0
