Compound Id	HybridizationRatio
5233	0.231
14916	0.0
7891	0.833
10452	1.0
61266	0.0
20848	0.667
4768	0.667
43354	0.0
37779	0.0
45445	0.0
36974	0.0
35585	0.0
34848	0.0
84344	0.0
34850	0.0
82819	0.0
56772	0.0
82820	0.0
16415	0.0
56779	0.0
56768	0.0
56777	0.0
84345	0.0
34668	0.0
28552	0.625
3544	0.462
21361761	0.071
1262	0.214
4333	0.077
4575	0.727
2079	0.727
6193	1.0
82783	0.0
34852	0.0
37000	0.0
37019	0.0
56765	0.0
39198	0.0
82740	0.0
56761	0.0
56756	0.0
56766	0.0
83413	0.0
34851	0.0
36976	0.0
56767	0.0
56763	0.0
7890	1.0
12705	0.667
26325183	0.125
16387	1.0
6514	0.125
2457	0.0
15789876	0.667
3841535	0.0
16177	1.0
33281	0.0
56786	0.0
56789	0.0
33456	0.0
46264	0.0
13300034	0.167
21153	0.917
10106	1.0
1361549	0.357
32555	0.6
97257	0.0
97224	0.0
102923	0.0
96868	0.0
96864	0.0
97234	0.0
97233	0.0
154062	0.0
97142	0.0
5739	0.0
8817	0.0
56782	0.0
36977	0.0
83414	0.0
84348	0.0
82823	0.0
33617	0.7
4759	0.7
30881	0.7
3277	0.133
11632871	1.0
15747	0.571
4444100	0.0
10033	0.941
33282	0.0
46285	0.0
46284	0.0
82806	0.0
56776	0.0
47913	0.0
32952	0.0
45446	0.0
43353	0.0
56773	0.0
7901	1.0
66895	0.5
199342	0.5
6371	0.2
86007	0.667
12549	0.0
7757	0.917
7875	0.917
59483	1.0
34853	0.0
37745	0.0
36978	0.0
34190	0.0
34191	0.0
36771	0.0
36710	0.0
56757	0.0
549017	0.0
84347	0.0
56764	0.0
56758	0.0
47914	0.0
56762	0.0
33984	0.0
33983	0.0
91432	0.286
2700	0.067
16180	0.846
12933	1.0
7340	1.0
4445317	0.615
204209	0.133
4444102	0.0
72056	1.0
4437893	0.063
34860	0.0
82738	0.0
