Compound Id	Polarizability derived from the heat of formation
PCB-059	29.237074
PCB-062	29.530285
PCB-068	29.723148
PCB-073	29.188872
PCB-089	31.19768
PCB-094	31.246484
PCB-096	31.037845
PCB-100	31.713953
PCB-104	31.290638
PCB-109	31.80863
PCB-111	31.854748
PCB-140	33.863754
PCB-142	33.746422
PCB-147	33.862541
PCB-150	33.640286
PCB-152	33.437757
PCB-159	34.321729
PCB-160	34.139422
PCB-161	34.171453
PCB-162	34.237163
PCB-164	33.893828
PCB-165	33.990518
PCB-166	34.402961
PCB-173	36.003041
PCB-184	36.201994
PCB-194	38.855061
PCB-209	43.233212
PCDD-03	26.935601
PCDD-04	27.093286
PCDD-05	26.735105
PCDD-06	26.642695
PCDD-07	27.018013
PCDD-08	26.995329
PCDD-09	26.545424
PCDD-13	29.483996
PCDD-15	29.13908
PCDD-16	29.560582
PCDD-17	29.504878
PCDD-18	29.03664
PCDD-19	29.275162
PCDD-20	29.694357
PCDD-21	29.701125
PCDD-22	29.208137
PCDD-23	28.866819
PCDD-24	29.303853
PCDD-25	29.484101
PCDD-26	29.959307
PCDD-28	31.720091
PCDD-29	32.147221
PCDD-30	32.138098
PCDD-31	31.601246
PCDD-32	31.438505
PCDD-33	31.93215
PCDD-34	31.888013
PCDD-35	31.429983
PCDD-36	31.690381
PCDD-37	31.821035
PCDD-38	31.357477
PCDD-39	32.057056
PCDD-40	31.754039
PCDD-41	31.538565
PCDD-43	31.524651
PCDD-44	32.232149
PCDD-45	31.894245
PCDD-46	31.092061
PCDD-47	31.776859
PCDD-49	33.900779
PCDD-50	34.423641
PCDD-51	34.278088
PCDD-52	34.446918
PCDD-53	33.942689
PCDD-54	34.714246
PCDD-55	34.347153
PCDD-56	34.179119
PCDD-57	33.995869
PCDD-58	34.126437
PCDD-59	33.680852
PCDD-60	34.456504
PCDD-61	34.161271
PCDD-62	33.961096
PCDD-63	36.492457
PCDD-64	36.670183
PCDD-65	36.144311
PCDD-67	36.937177
PCDD-68	36.593425
PCDD-69	36.607224
PCDD-70	36.824547
PCDD-71	36.323568
PCDD-72	36.284033
PCDD-74	38.84073
PCDE-004	25.665505
PCDE-006	25.888211
PCDE-011	26.210288
PCDE-016	27.976222
PCDE-018	27.962737
PCDE-019	27.568118
PCDE-020	28.261294
PCDE-026	28.282848
PCDE-027	27.903447
PCDE-034	28.137205
PCDE-036	28.488033
PCDE-040	30.201465
PCDE-043	30.357094
PCDE-044	30.505759
PCDE-045	29.98462
PCDE-046	30.160925
PCDE-050	30.158333
PCDE-051	30.334093
PCDE-052	30.472522
PCDE-053	30.149304
PCDE-054	29.775555
PCDE-057	30.699673
PCDE-058	30.693478
PCDE-059	30.345932
PCDE-069	30.507186
PCDE-072	30.719919
PCDE-073	30.349299
PCDE-076	30.428892
PCDE-078	30.792777
PCDE-080	30.975172
PCDE-083	32.578292
PCDE-084	32.15557
PCDE-086	32.712009
PCDE-088	32.511962
PCDE-092	32.886605
PCDE-093	32.385193
PCDE-094	32.531533
PCDE-095	32.505507
PCDE-096	32.211114
PCDE-098	32.819313
PCDE-103	32.688994
PCDE-104	32.388648
PCDE-106	33.094995
PCDE-107	33.107649
PCDE-111	33.172859
PCDE-112	32.759242
PCDE-113	32.823743
PCDE-121	33.008149
PCDE-122	33.030165
PCDE-124	33.033905
PCDE-125	32.621666
PCDE-127	33.320474
PCDE-129	34.984693
PCDE-131	34.769991
PCDE-133	35.194028
PCDE-134	34.582024
PCDE-135	34.897688
PCDE-136	34.540194
