Compound Id	Total energy
PBDF-008	-2297.06997
PBDF-009	-2297.14931
PBDF-010	-2297.14874
PBDF-011	-2296.92992
PBDF-012	-2297.05355
PBDF-013	-2297.05206
PBDF-014	-2297.07404
PBDF-015	-2297.15309
PBDF-016	-2297.15558
PBDF-017	-2296.98599
PBDF-018	-2297.06819
PBDF-019	-2297.14857
PBDF-020	-2296.98157
PBDF-021	-2511.41994
PBDF-022	-2511.42777
PBDF-023	-2511.46452
PBDF-024	-2511.54172
PBDF-025	-2511.54034
PBDF-026	-2511.30523
PBDF-027	-2511.43455
PBDF-028	-2511.5296
PBDF-029	-2511.60757
PBDF-030	-2511.60745
PBDF-031	-2511.39143
PBDF-032	-2511.45508
PBDF-033	-2511.539
PBDF-034	-2511.53997
PBDF-035	-2511.32377
PBDF-036	-2511.47739
PBDF-037	-2511.53726
PBDF-038	-2511.53734
PBDF-039	-2511.36237
PBDF-040	-2511.4596
PBDF-041	-2511.53764
PBDF-042	-2511.54025
PBDF-043	-2511.45262
PBDF-044	-2511.53605
PBDF-045	-2511.53975
PBDF-046	-2511.47747
PBDF-047	-2511.38714
PBDF-048	-2511.47193
PBDF-049	-2725.71499
PBDF-050	-2725.82415
PBDF-051	-2725.90062
PBDF-052	-2725.89964
PBDF-053	-2725.66408
PBDF-054	-2725.82659
PBDF-055	-2725.90838
PBDF-056	-2725.90839
PBDF-057	-2725.67494
PBDF-058	-2725.86494
PBDF-059	-2725.92266
PBDF-060	-2725.69263
PBDF-061	-2725.92217
PBDF-062	-2725.75851
PBDF-063	-2725.67046
PBDF-064	-2725.83275
PBDF-065	-2725.91529
PBDF-066	-2725.91638
PBDF-067	-2725.70291
PBDF-068	-2725.92893
PBDF-069	-2725.9876
PBDF-070	-2725.77665
PBDF-071	-2725.98796
PBDF-072	-2725.8433
PBDF-073	-2725.85585
PBDF-074	-2725.9156
PBDF-075	-2725.70375
PBDF-076	-2725.92119
PBDF-077	-2725.84373
PBDF-078	-2725.75729
PBDF-079	-2725.83971
PBDF-080	-2725.84331
PBDF-081	-2725.8563
PBDF-082	-2725.91736
PBDF-083	-2725.91822
PBDF-084	-2725.84967
PBDF-085	-2725.9116
PBDF-086	-2725.78581
PBDF-087	-2940.10875
PBDF-088	-2940.18976
PBDF-089	-2940.18992
PBDF-090	-2939.95559
PBDF-091	-2940.21866
PBDF-092	-2940.27555
PBDF-093	-2940.04483
PBDF-094	-2940.27554
PBDF-095	-2940.11025
PBDF-096	-2940.02279
PBDF-097	-2940.22143
PBDF-098	-2940.27912
PBDF-099	-2940.04981
PBDF-100	-2940.28395
PBDF-101	-2940.12091
PBDF-102	-2940.03469
PBDF-103	-2940.22443
PBDF-104	-2940.06594
PBDF-105	-2940.2278
PBDF-106	-2940.28653
PBDF-107	-2940.07729
PBDF-108	-2940.29194
PBDF-109	-2940.14905
PBDF-110	-2940.28853
PBDF-111	-2940.21729
PBDF-112	-2940.14967
PBDF-113	-2940.21059
PBDF-114	-2940.21634
PBDF-115	-3154.49952
PBDF-116	-3154.55653
PBDF-117	-3154.3262
PBDF-118	-3154.56145
PBDF-119	-3154.39671
PBDF-120	-3154.31061
PBDF-121	-3154.5733
PBDF-122	-3154.41321
PBDF-123	-3154.38133
PBDF-124	-3154.36975
PBDF-125	-3154.57686
PBDF-126	-3154.41844
PBDF-127	-3154.38753
PBDF-128	-3154.58434
PBDF-129	-3154.4461
PBDF-130	-3154.50642
PBDF-131	-3368.85154
PBDF-132	-3368.69146
PBDF-133	-3368.65984
PBDF-134	-3368.65357
PBDF-135	-3582.9296
PBN-01	-1546.936
PBN-02	-1546.9751
PBN-03	-1761.35551
PBN-04	-1761.4346
PBN-05	-1761.39798
PBN-06	-1761.41298
PBN-07	-1761.45804
PBN-08	-1761.45019
PBN-09	-1761.18938
PBN-10	-1761.39505
PBN-11	-1761.49509
PBN-12	-1761.49367
PBN-13	-1975.74571
PBN-14	-1975.78552
PBN-15	-1975.81867
PBN-16	-1975.86284
PBN-17	-1975.85488
PBN-18	-1975.5729
PBN-19	-1975.88793
PBN-20	-1975.93754
PBN-21	-1975.93166
PBN-22	-1975.67132
PBN-23	-1975.6146
PBN-24	-1975.89645
PBN-25	-1975.85711
PBN-26	-1975.89862
PBN-27	-2190.07032
PBN-28	-2190.18963
PBN-29	-2190.23863
PBN-30	-2190.23239
PBN-31	-2189.94721
PBN-32	-2189.98909
PBN-33	-2190.27242
PBN-34	-2190.27177
PBN-35	-2189.96646
PBN-36	-2190.21451
PBN-37	-2190.28144
