Compound Id	Total energy of the corresponding cation
PBDF-017	-2288.04976
PBDF-018	-2288.07924
PBDF-019	-2288.19677
PBDF-020	-2287.97476
PBDF-021	-2502.40794
PBDF-022	-2502.36248
PBDF-023	-2502.36886
PBDF-024	-2502.47118
PBDF-025	-2502.39954
PBDF-026	-2502.21899
PBDF-027	-2502.41537
PBDF-028	-2502.45779
PBDF-029	-2502.57009
PBDF-030	-2502.50911
PBDF-031	-2502.35712
PBDF-032	-2502.39346
PBDF-033	-2502.46203
PBDF-034	-2502.46721
PBDF-035	-2502.2495
PBDF-036	-2502.44679
PBDF-037	-2502.45097
PBDF-038	-2502.49067
PBDF-039	-2502.32573
PBDF-040	-2502.3679
PBDF-041	-2502.46335
PBDF-042	-2502.39436
PBDF-043	-2502.39306
PBDF-044	-2502.39075
PBDF-045	-2502.40409
PBDF-046	-2502.37222
PBDF-047	-2502.3022
PBDF-048	-2502.42562
PBDF-049	-2716.59542
PBDF-050	-2716.64857
PBDF-051	-2716.77864
PBDF-052	-2716.71049
PBDF-053	-2716.5445
PBDF-054	-2716.7027
PBDF-055	-2716.69654
PBDF-056	-2716.74022
PBDF-057	-2716.51944
PBDF-058	-2716.67721
PBDF-059	-2716.72786
PBDF-060	-2716.54147
PBDF-061	-2716.73806
PBDF-062	-2716.59418
PBDF-063	-2716.47951
PBDF-064	-2716.67725
PBDF-065	-2716.79667
PBDF-066	-2716.7639
PBDF-067	-2716.58856
PBDF-068	-2716.80259
PBDF-069	-2716.77839
PBDF-070	-2716.61354
PBDF-071	-2716.84341
PBDF-072	-2716.71981
PBDF-073	-2716.69298
PBDF-074	-2716.77682
PBDF-075	-2716.50373
PBDF-076	-2716.76731
PBDF-077	-2716.71018
PBDF-078	-2716.61589
PBDF-079	-2716.68539
PBDF-080	-2716.62988
PBDF-081	-2716.69487
PBDF-082	-2716.66697
PBDF-083	-2716.72322
PBDF-084	-2716.67166
PBDF-085	-2716.74224
PBDF-086	-2716.65664
PBDF-087	-2930.908
PBDF-088	-2930.99498
PBDF-089	-2930.96479
PBDF-090	-2930.7682
PBDF-091	-2931.00377
PBDF-092	-2930.98426
PBDF-093	-2930.8234
PBDF-094	-2931.05025
PBDF-095	-2930.91036
PBDF-096	-2930.79172
PBDF-097	-2930.98309
PBDF-098	-2931.06695
PBDF-099	-2930.85294
PBDF-100	-2931.02061
PBDF-101	-2930.84636
PBDF-102	-2930.80163
PBDF-103	-2930.94985
PBDF-104	-2930.84332
PBDF-105	-2931.02896
PBDF-106	-2931.05564
PBDF-107	-2930.84415
PBDF-108	-2931.08053
PBDF-109	-2930.95212
PBDF-110	-2931.06468
PBDF-111	-2931.01035
PBDF-112	-2930.91517
PBDF-113	-2930.96286
PBDF-114	-2930.94354
PBDF-115	-3145.22845
PBDF-116	-3145.2786
PBDF-117	-3145.06117
PBDF-118	-3145.27231
PBDF-119	-3145.13216
PBDF-120	-3145.01485
PBDF-121	-3145.27124
PBDF-122	-3145.14752
PBDF-123	-3145.05637
PBDF-124	-3145.09707
PBDF-125	-3145.28995
PBDF-126	-3145.12644
PBDF-127	-3145.1306
PBDF-128	-3145.30724
PBDF-129	-3145.18191
PBDF-130	-3145.16651
PBDF-131	-3359.50792
PBDF-132	-3359.36643
PBDF-133	-3359.33603
PBDF-134	-3359.31225
PBDF-135	-3573.5373
PBN-01	-1538.16832
PBN-02	-1538.13347
PBN-03	-1752.46677
PBN-04	-1752.50201
PBN-05	-1752.54025
PBN-06	-1752.53024
PBN-07	-1752.49671
PBN-08	-1752.51232
PBN-09	-1752.38124
PBN-10	-1752.41097
PBN-11	-1752.50001
PBN-12	-1752.44897
PBN-13	-1966.73676
PBN-14	-1966.82938
PBN-15	-1966.81825
PBN-16	-1966.8132
PBN-17	-1966.79555
PBN-18	-1966.66066
PBN-19	-1966.87018
PBN-20	-1966.82034
PBN-21	-1966.86554
PBN-22	-1966.7054
PBN-23	-1966.72447
PBN-24	-1966.87699
PBN-25	-1966.79065
PBN-26	-1966.76617
PBN-27	-2181.0481
PBN-28	-2181.09836
PBN-29	-2181.07314
PBN-30	-2181.08603
PBN-31	-2180.92528
PBN-32	-2180.99946
PBN-33	-2181.17653
PBN-34	-2181.15821
PBN-35	-2180.99252
PBN-36	-2181.11645
PBN-37	-2181.14814
PBN-38	-2180.99488
PBN-39	-2181.09027
PBN-40	-2180.99293
PBN-41	-2180.92657
PBN-42	-2181.22269
PBN-43	-2181.053
PBN-44	-2181.13581
PBN-45	-2181.02402
PBN-46	-2180.84832
PBN-47	-2181.16512
PBN-48	-2181.03691
PBN-49	-2395.1965
PBN-50	-2395.38675
PBN-51	-2395.38528
PBN-52	-2395.44215
PBN-53	-2395.2636
PBN-54	-2395.36311
PBN-55	-2395.25215
