Compound Id	ALOGP [ALogP]
7026	-1.663
11239	0.113
11861	-2.136
11036	-1.560
11029	-1.560
11794	-1.272
10511	-1.560
21011	-0.984
11678	-1.272
3644	-0.408
6320	-0.696
10947	-0.984
10787	-0.563
60524	-0.202
55091	1.053
2606	0.9
7208	-0.480
1446	-1.160
8520	6.178
7626	-0.050
11526	0.664
124968	0.103
21105905	0.307
21106560	0.307
10437215	-0.379
2039535	0.199
7161	1.595
13885245	0.296
62472	0.671
7678	-1.951
11819	0.081
99440	1.159
123993	-1.527
12225	0.051
693	-0.704
11080	-1.210
10197150	-0.225
13255	-0.728
83962	1.322
13839199	0.440
13634	0.708
7221	0.708
456015	0.693
7030	0.483
8860	0.0
642951	1.416
11773	0.069
6898	-0.483
8262	-0.484
6089	-0.648
13835977	-0.031
7677	-2.240
60121	-0.262
21106518	-1.004
9970	-2.239
8273	-0.484
73479	0.158
7443	-0.484
86394	-0.296
9454	0.275
8282	-0.921
13856959	-0.080
6453	0.217
78828	5.340
62530	0.019
7242	-0.237
65750	-0.750
24041	-0.813
5708	0.592
23730	0.341
23621376	-1.196
21111781	-0.244
7225	0.035
21106470	0.0
247721	-0.180
7029	-0.333
21106581	0.406
11283	0.671
156255	-2.465
13869480	-0.802
11488212	-1.025
10992	0.193
62597	-0.029
4937830	0.477
844	-0.445
21105870	0.019
2005981	0.271
199342	1.980
6745	-0.621
6916	-1.064
11996	1.232
55188	0.306
11077	1.284
7240	0.708
66996	0.3
25886	1.324
12957	-0.237
19953955	-1.773
21943	-0.525
19956441	-2.061
19957731	-2.926
7636	0.472
6146	0.573
62230	-1.2
59674	1.039
11021	0.193
21106535	1.001
10181339	-0.143
5596	-1.210
13849989	2.340
132	-0.7
70715	0.503
15855	1.595
84036	0.014
13328	3.038
10784857	2.573
22191	-0.685
6123	-0.698
8576	-2.991
7851	-2.415
15387	-2.703
7811	-1.839
7835	-2.127
7769	-1.551
7716	-1.263
7564	-0.975
6101	-0.397
7466	0.371
11732	1.363
15803	0.656
7236	-1.016
4437893	0.282
4489	-0.019
12066	-0.279
13835836	0.871
6720	0.844
11042	1.082
10940	1.082
10937	1.284
20570	0.218
19477	-0.274
14169248	-0.926
13648	-0.254
15409	0.359
78	0.035
17868	0.0
4449	-2.753
75951	-0.973
72551	-1.261
72793	-0.609
11543	-0.462
18	-1.160
21105848	-0.705
556589	0.117
880	-0.625
7155	1.080
16359	1.165
8329	-0.528
13842613	0.879
21132380	1.082
29001	-0.473
11632	-0.564
30516	-0.852
26325090	-1.446
21106145	0.406
10488	-0.621
10292746	2.338
68832	-0.397
23255	-0.986
11699	0.044
11695	0.621
11739	-0.135
11194	0.031
6165	-0.103
10008	-0.750
10790	-0.175
62466	0.007
11595	-0.022
6492	-0.921
10451	5.060
2975965	1.384
8900	0.0
11230	0.571
99681	1.501
29015	-0.262
8904	0.0
10018	-0.567
12954	-1.140
13867413	0.081
13054	0.0
24641	-0.897
11056	0.153
11216	-0.524
11210	-1.455
11795	-1.125
789	0.067
7131	-0.459
13854242	-0.488
1266019	2.719
558878	2.489
25890	-1.428
68152	1.022
65936	0.035
11180	0.707
5830	-0.193
6610	-1.095
62485	0.007
10756	1.122
10181341	-0.205
58234	0.943
5142	-1.686
136966	1.290
64155	0.229
553578	2.489
18724	1.556
7688	0.440
220998	-1.716
654	-0.216
4366810	0.565
10422	0.853
558917	2.340
57726	-1.289
6330	-0.549
61707	0.1
10892	-0.292
89258	1.722
18019	9.519
13860434	-0.705
60886	3.838
13871718	-0.674
1114	0.320
68224	5.948
68503	1.662
24533	-0.237
8903	0.0
11265	-0.009
120489	-0.052
13869414	-0.802
6301	2.469
19709	-0.562
1664	-0.750
2241	-0.635
11107	-1.141
10986	-0.494
2441	0.969
137720	0.003
5593	-0.420
4599	-0.938
13836589	-0.080
21106173	0.958
707	4.163
10384035	0.199
8855	0.0
5026296	0.943
10464	-0.837
59483	2.237
17131	1.363
12161	1.312
26325086	0.139
7856	-1.447
8562	-0.871
7730	0.285
173	-0.625
191058	-0.494
9219586	-0.431
65234	-1.866
56117	1.563
21106366	-0.219
25889	0.291
192748	1.331
13850142	1.122
390927	1.122
69340	-0.962
81815	0.660
1577	-0.750
71	-1.160
6514	-0.221
4445317	2.252
14556	0.262
20132	-0.091
21782117	2.338
6774	-0.564
11752	-0.272
8960	-1.191
6334	-0.523
11460	-0.533
10438331	0.405
10628694	-0.447
6604	1.489
10756390	5.948
13803	1.477
63631	0.270
11788	-0.725
455090	0.218
7223	-0.738
11629	-0.705
13856352	-0.483
55443	-1.250
453675	-1.538
11465	-0.282
120621	-0.573
20119	-0.850
55205	-1.138
13816	-0.446
26765	-0.734
21181	-1.022
10254	0.007
4962	-0.909
592	-0.806
7146	-1.160
8521	7.19
29117	-0.425
78467	-1.060
28682	-0.254
222538	0.011
7630	-0.195
15427	-0.964
11286	-0.098
67465	0.659
10243171	0.017
11332993	0.017
392	-1.210
206493	-0.419
1361549	-0.671
109838	0.170
28992	0.879
20843	0.879
13229	1.055
17784	1.272
12816	-0.192
13104	-3.095
5993	-0.499
62589	-0.840
7686	-1.272
7624	-0.316
7406	-0.257
192642	0.202
70988	-0.006
7018	-0.203
3350	-1.160
21361761	-0.546
13849981	2.469
71089	0.051
10437135	0.199
65523	0.011
21106900	-0.766
58563	-1.095
86435	-0.194
15413	2.228
10449	6.071
6842	1.181
7506	2.043
2656	1.311
13836520	0.384
9943	-0.192
5978	-0.221
17347	-0.323
12445	0.409
3008	1.065
3277	0.535
9965	-0.603
6270	2.313
13848341	0.092
26325182	1.344
105291	0.776
7791	-1.261
71193	-0.834
2925	0.863
70652	-0.482
2424	-0.431
21105859	-0.501
502245	-0.614
123860	-0.735
73390	0.262
9088156	3.792
13848467	-0.591
72556	-0.879
122446	1.024
773	-0.420
13835235	-0.897
21106140	0.925
7480	-1.452
108106	3.991
21106008	-0.296
14299946	4.054
502855	-0.070
7340	-1.526
8158	1.071
13835376	0.420
127750	-0.408
13839109	0.141
