Compound Id	KappaShapeIndices [Kier1]
194092	9.091
7092	8.1
13835224	5.0
1078	8.0
499714	6.125
11557190	19.0
970	9.242
24972	7.111
24535	9.091
8902	4.167
10437836	11.077
10437239	8.1
14627	7.639
25472	12.071
8470	11.077
3210	16.0
76154	10.083
13836591	6.0
455353	9.0
6658	9.091
26325085	15.0
124	9.091
13662	8.1
62265	13.067
13836399	8.0
16778	7.0
7705	7.0
11694	8.0
123207	6.125
67594	11.484
992	10.083
11930	8.0
13644	7.111
60329	6.0
7727	5.0
7728	5.0
7021	6.0
10948	6.0
1143	4.0
376	11.0
10801109	15.0
8030	12.457
8093	12.457
13658	8.1
21106586	10.0
21105699	8.592
13865426	9.0
71628	9.0
13837329	12.071
13837319	18.05
8241	16.056
11422351	10.083
1609	6.0
83866	6.125
67270	9.091
20198	12.071
361	10.083
7199	9.091
14916	14.410
10733068	23.04
16736498	13.959
6528	22.042
2297441	13.067
6033	9.091
13839553	5.0
10025	12.0
6524	18.05
8243	20.045
13860	7.111
1015	5.76
204209	13.432
61266	18.340
13874867	8.0
71430	7.111
13837303	14.063
7397	8.1
26325087	15.0
1906	9.091
363458	5.143
7684	5.143
13856009	7.111
1278	9.242
76394	7.111
7279	10.083
71787	8.0
11244	6.0
63889	6.125
13835336	4.0
83850	6.125
13835209	6.0
5004	14.0
7150	11.077
15016	19.0
503239	7.111
13837537	4.167
20848	13.067
13835293	7.0
6371	13.432
9873	10.173
11610	9.091
13839441	7.0
72056	14.0
34095	12.0
18685	11.0
62628	10.0
11875	9.0
40130	12.071
191	10.0
8528	6.125
10101	8.0
2849146	8.1
185	6.694
4590	11.077
18177	11.077
13854944	6.0
13836021	5.0
13884973	8.0
68568	8.1
13842001	8.0
