Compound Id	BCUT [BCUTp-1l]
864	2.6664
79280	4.8004
28947	3.7257
7042	3.6920
13837760	4.7063
76894	3.9474
205483	4.7005
7737	5.0170
6322	3.8852
7132	4.4358
8763	7.8414
13848808	4.4155
10837	3.7267
13869434	5.8787
21159695	5.3043
6835	5.6044
21108576	4.4699
7533	4.4246
56559	3.9530
9053802	3.9530
29000	3.9530
7434	4.3853
6312	3.9457
8398	4.1102
11898	3.9530
72522	3.9530
7928	3.9530
14348	3.9530
2581	3.9530
11891	3.9529
7917	3.9528
7915	3.9527
7901	3.9524
7892	3.9518
7882	3.9505
8574	3.9407
932	3.9358
7812	3.9062
7837	3.9333
6040	3.8744
258	3.7877
1004	3.6296
682	3.3125
13872989	3.7145
8665	4.6573
6950	5.5515
552744	3.6489
70806	4.2868
11671339	4.9146
10251740	3.7635
69914	5.0019
13862665	3.6642
21168813	4.5144
175	3.4865
6630	6.0359
13840647	5.8787
13860491	5.6430
13839012	5.3832
20545	3.7217
8012	3.8789
9564	4.7904
7044	3.9414
11003	6.5759
10452	4.6094
6314	3.5649
4510484	3.9971
66896	5.0640
10437074	5.7194
21105878	4.6939
13839308	3.9227
6753	5.3714
374462	5.2012
13869462	5.8001
21106519	5.2157
13860775	4.7878
21106015	3.8053
11809	3.8755
12823	4.3288
6649	4.0361
6035	4.7417
61739	4.9514
392447	3.8863
7142	4.0717
66895	5.0548
66887	5.0449
9893	4.9074
63518	5.0253
59482	4.9860
10696	4.7957
67414	5.1767
7074	4.4409
7670	4.7440
10797	4.7440
6176	4.4296
7534	4.5082
10791	4.4296
28986	4.4296
10788	4.2724
7621	4.1152
10777	4.1152
12972	4.6654
9976	4.5868
7514	4.3510
215929	4.3903
11025	4.2724
7016	4.1152
7871	4.1128
21153	4.1140
7802	4.0956
12218	4.1103
12632	4.1054
7760	4.0759
11095	4.0367
7607	3.9581
6321	3.8009
558020	3.5832
7790	4.5498
6881	4.7502
12061	3.9001
67460	3.8601
6790	5.7350
8319	6.0628
62964	4.0013
62467	4.4743
11193	4.1933
11591	3.8468
10411	4.2224
10181338	4.0571
59573	4.0818
14998	4.6247
13837190	3.9636
