Compound Id	XLogP
34865	5.048
11974	4.532
10771217	0.571
33416	-0.950
15409	4.393
21106036	2.601
120548	0.238
11591	1.684
11778	1.958
44152	0.636
11954	2.054
8855	2.097
11769	2.467
18941	2.624
29282	2.461
6586	4.542
2915	4.605
13328	3.032
8960	-2.164
10772050	1.030
7225	0.748
70652	2.719
7685	2.219
7208	1.270
21111817	3.092
20124	3.462
7406	1.581
10498	0.626
70988	2.004
9564	1.622
2923	2.336
21106470	1.806
10432	2.467
56793	5.355
454495	5.144
40191	5.355
56791	5.144
35581	5.144
56774	5.24
82765	5.24
7042	1.386
2185	6.1
4760	2.266
12874	2.223
13853953	2.779
6988	2.025
13869414	1.322
13860720	1.958
11294	3.383
457140	4.749
27793	4.634
82754	4.212
457138	4.212
102897	4.212
457139	4.423
102947	4.212
97173	4.212
102720	4.212
102801	4.212
102833	4.212
102721	4.212
102856	4.212
102933	4.212
103066	4.212
97172	4.212
64016	5.595
4450907	0.796
120621	0.593
12445	1.010
20119	0.491
7030	0.202
13835932	-2.552
13257	0.962
2937774	0.62
62484	2.988
1015	-0.134
87265	3.081
12699	8.137
21429023	4.355
10892	1.8
376	0.575
13837303	3.18
78	0.748
13837329	2.334
11595	1.632
4745	2.023
4768	1.995
20848	1.952
65701	2.932
8273	3.462
12705	1.806
8183	1.92
11563	2.667
59577	0.951
61707	-0.262
11610	2.506
7397	2.352
6675	2.878
11588	2.667
2283071	7.230
8319	3.642
11003	4.910
13104	3.381
6334	-0.290
206561	0.197
64699	0.775
21106008	1.559
5091	8.708
55205	1.06
13816	-0.037
11244	-1.026
247721	4.539
71	0.536
2169	1.535
13303	1.346
13302	1.383
4489	-0.228
13835706	0.340
26765	0.532
192642	0.256
122446	0.457
21181	1.101
11752	0.133
2275	-0.139
10464	0.014
6330	-0.555
11795	0.583
173	-0.808
3918	3.831
6790	3.853
106355	4.212
102741	4.308
97055	4.308
97198	4.308
5993	-0.384
693	-1.044
28682	-0.106
191058	1.746
5596	1.232
18	0.965
6807	5.159
13856959	5.895
553649	8.646
13848341	-0.068
10864	3.117
5027	1.075
2271976	2.496
10169	11.276
8860	4.656
10986	1.535
5915	1.375
7146	0.107
6838	6.086
34874	5.144
36972	5.355
56788	5.144
533188	5.355
35579	5.144
16182	5.144
46262	5.355
35580	5.144
82818	5.355
56790	6.199
56795	5.144
33458	6.199
82777	5.355
35584	5.144
56785	5.144
56792	5.144
34189	5.144
34859	5.336
84346	5.336
56760	5.336
56755	5.336
33666	5.336
8030	6.280
8060	4.939
13867413	-0.447
7310	2.847
6781	2.239
21106365	3.911
13865630	0.778
26325085	4.901
26325087	4.570
26325088	4.148
7241	1.136
12061	3.760
61765	1.894
15473	5.374
17099	6.218
17098	5.374
33933	6.218
15474	5.374
34868	5.259
37905	6.103
34869	5.048
37918	6.103
37915	5.259
34867	5.259
25605	6.103
26011	5.048
34870	5.259
34666	5.259
21924	5.048
36973	5.24
37744	5.451
46894	5.24
45444	5.24
56769	5.451
56780	5.24
34847	5.24
39406	5.24
35081	5.24
56781	5.24
56771	5.240
3584	3.758
6842	4.438
4624	1.978
10101	-0.690
10025	1.144
5004	2.282
28994	-0.526
9218	2.001
13835351	5.426
6773	5.426
102834	4.308
102722	4.308
154865	4.308
96948	4.308
102743	4.308
102857	4.308
154866	4.308
106356	4.308
102787	4.308
97240	4.308
102742	4.308
136966	2.335
13054	2.633
7636	0.662
71787	-0.465
21105795	1.484
11629	1.04
13853943	2.511
21105699	1.968
5439	-0.214
29107	-0.148
7029	0.219
19231	-0.784
67460	4.329
299166	0.141
9873	4.256
17868	3.451
13860434	1.04
123	1.484
2157	2.021
13850879	-0.015
6524	4.49
8243	6.172
6528	7.310
13837319	5.034
8241	3.896
11422	2.598
6855	4.807
13839012	5.063
2927	6.515
69982	1.426
6774	0.945
9965	1.631
8262	3.462
10903	5.274
206493	1.401
97257	4.404
97224	4.404
102923	4.404
96868	4.404
96864	4.404
97234	4.404
97233	4.404
154062	4.404
97142	4.404
4777	4.053
2075	8.275
18177	1.279
6665	2.834
21106148	2.239
6023	3.506
65763	2.430
56782	5.432
36977	5.432
83414	5.432
84348	5.432
82823	5.432
13846749	1.814
11107	0.182
11586	2.241
21106518	1.268
9120	2.465
3277	5.507
1278	2.838
6907	2.172
844	-0.299
62472	2.241
6950	1.804
744	-1.192
4444102	1.033
26563	-1.140
6035	1.588
