Compound Id	WienerNumbers [WPATH]
5027	260.0
2271976	1081.0
10169	666.0
8860	279.0
10986	206.0
5915	126.0
7146	150.0
6838	543.0
34874	408.0
36972	412.0
56788	417.0
533188	407.0
35579	410.0
16182	426.0
46262	414.0
35580	419.0
82818	409.0
56790	407.0
56795	418.0
33458	402.0
82777	416.0
35584	417.0
56785	410.0
56792	425.0
34189	412.0
34859	537.0
84346	541.0
56760	546.0
56755	534.0
33666	555.0
8030	423.0
8060	572.0
13867413	50.0
7310	221.0
6781	150.0
21106365	279.0
13865630	244.0
26325085	508.0
26325087	502.0
26325088	496.0
7241	64.0
12061	133.0
61765	121.0
15473	301.0
17099	303.0
17098	308.0
33933	298.0
15474	315.0
34868	352.0
37905	352.0
34869	360.0
37918	348.0
37915	360.0
34867	354.0
25605	354.0
26011	362.0
34870	358.0
34666	352.0
21924	368.0
36973	470.0
37744	472.0
46894	476.0
45444	480.0
56769	466.0
56780	470.0
34847	472.0
39406	478.0
35081	488.0
56781	478.0
56771	480.0
3584	1424.0
6842	279.0
4624	886.0
10101	64.0
10025	268.0
5004	433.0
28994	10.0
9218	162.0
13835351	260.0
6773	254.0
102834	314.0
102722	322.0
154865	324.0
96948	324.0
102743	318.0
102857	330.0
154866	324.0
106356	322.0
102787	320.0
97240	314.0
102742	318.0
136966	90.0
13054	168.0
7636	41.0
71787	71.0
21105795	88.0
11629	156.0
13853943	114.0
21105699	198.0
5439	32.0
29107	29.0
7029	26.0
19231	64.0
67460	182.0
299166	120.0
9873	326.0
17868	198.0
13860434	154.0
123	90.0
2157	246.0
13850879	738.0
6524	878.0
8243	1243.0
6528	1650.0
13837319	912.0
8241	649.0
11422	156.0
6855	238.0
13839012	240.0
2927	603.0
69982	178.0
6774	150.0
9965	223.0
8262	224.0
10903	246.0
206493	178.0
97257	376.0
97224	377.0
102923	370.0
96868	384.0
96864	384.0
97234	379.0
97233	378.0
154062	383.0
97142	374.0
4777	792.0
2075	882.0
18177	270.0
6665	279.0
21106148	162.0
6023	121.0
65763	195.0
56782	624.0
36977	616.0
83414	634.0
84348	616.0
82823	626.0
13846749	211.0
11107	79.0
11586	262.0
21106518	117.0
9120	246.0
3277	626.0
1278	271.0
6907	274.0
844	48.0
62472	250.0
6950	79.0
744	138.0
4444102	896.0
26563	729.0
6035	160.0
3548	556.0
392	62.0
21108576	120.0
1151	138.0
10628694	108.0
36975	484.0
56778	478.0
43354	494.0
37779	478.0
45445	488.0
36974	480.0
35585	486.0
34848	496.0
84344	482.0
34850	488.0
82819	476.0
56772	480.0
82820	492.0
16415	470.0
56779	486.0
56768	496.0
56777	488.0
84345	484.0
34668	488.0
16736486	459.0
8470	268.0
8111	279.0
10616	188.0
21106900	195.0
1577	26.0
642951	300.0
12730	694.0
6835	252.0
13300034	435.0
96965	442.0
33198	436.0
82783	550.0
34852	553.0
37000	543.0
37019	546.0
56765	561.0
39198	562.0
82740	541.0
56761	548.0
56756	552.0
56766	554.0
83413	555.0
34851	555.0
36976	545.0
56767	564.0
56763	571.0
1143	9.0
11460	121.0
11465	164.0
1448	240.0
5775	2022.0
10254	114.0
10411	166.0
2241	88.0
62466	117.0
62485	120.0
7189	120.0
21106145	197.0
6658	144.0
11422351	181.0
25472	321.0
7150	240.0
32555	701.0
13854242	211.0
10181338	162.0
1078	74.0
56787	421.0
35583	424.0
82807	416.0
56794	417.0
33386	430.0
33457	412.0
47912	425.0
82817	423.0
46893	426.0
33280	426.0
35582	419.0
33304	432.0
46263	419.0
553171	141.0
10488	42.0
11488212	150.0
34667	366.0
34871	360.0
34873	374.0
56784	358.0
34872	368.0
970	271.0
556589	210.0
29153	362.0
11917	1248.0
62467	117.0
3008	321.0
204209	606.0
10996	262.0
880	126.0
21106581	206.0
15827	505.0
70806	388.0
11369	110.0
4437893	745.0
5882	206.0
9824	262.0
12821	88.0
71193	150.0
67270	148.0
6033	152.0
7092	114.0
63968	252.0
2908	726.0
33407	720.0
36985	706.0
35205	711.0
15637	702.0
82821	717.0
8329	448.0
15753	194.0
17339596	507.0
6371	516.0
10664	117.0
2625	896.0
4333	828.0
6593	219.0
86007	629.0
13835344	162.0
76154	188.0
3534	959.0
7044	240.0
73390	164.0
7279	212.0
10343	286.0
185	105.0
7155	354.0
16359	240.0
84971	125.0
388391	125.0
11773	121.0
11582	156.0
7172	197.0
96749	206.0
2068	211.0
5236	214.0
21782117	520.0
2991	307.0
34853	569.0
37745	557.0
36978	562.0
34190	555.0
34191	568.0
36771	559.0
36710	564.0
56757	570.0
549017	552.0
84347	561.0
56764	563.0
56758	562.0
47914	554.0
56762	563.0
33984	571.0
33983	573.0
34860	632.0
82738	634.0
36982	634.0
