Compound Id	MannholdLogP
17339596	1.350
3277	2.78
15621	2.890
26260	2.890
5162	2.23
12682	2.890
5593	2.01
8329	2.78
6789	2.45
11776	1.79
15488	2.670
707	1.46
83191	3.44
5774	3.55
92494	3.660
92468	3.770
11489	2.120
6586	2.450
15620	2.890
15861	2.890
12705	1.79
12730	1.9
472932	1.13
6950	1.79
3350	1.79
218253	2.670
4333	2.120
63968	2.450
6706	1.79
68437	2.890
11038	1.9
2068	1.570
5236	1.570
6855	2.670
13090	2.56
13303	1.680
13302	1.680
133166	3.33
8067	1.46
6840	2.78
8030	2.78
3008	1.9
6739	2.45
2283071	3.0
8807	2.780
5791	3.330
11286	1.680
21106059	3.220
13839012	2.670
7151	1.46
10903	2.670
6835	2.670
5145918	2.56
15475	2.34
15755	2.34
14995	2.34
14994	2.34
67470	2.34
15476	2.34
15477	2.34
15478	2.34
15524	2.34
15756	2.34
8058	2.560
15473	2.56
17099	2.56
17098	2.56
33933	2.56
15474	2.56
11003	2.670
8093	2.78
36029	2.34
58496	4.43
6735	2.45
4932499	3.0
8341	2.45
6592	2.890
6371	2.890
2297441	1.35
7155	1.35
3693	2.890
89258	1.46
26010	2.56
30600	2.56
33455	2.56
33934	2.56
33932	2.56
10628694	1.680
11294	2.34
4268	2.230
6604	2.12
23886	2.56
33421	2.56
6838	2.890
6002	3.44
6753	2.670
1262	2.67
6807	2.56
4470736	3.550
20124	2.23
4911	2.780
62265	1.570
64016	2.890
8319	2.45
6790	2.45
6588	2.23
3652	2.67
185	1.460
75995	3.220
2271976	2.780
457140	2.23
84188	2.23
136000	2.23
135983	2.23
136001	2.23
136002	2.23
158870	2.23
157093	2.23
83374	2.23
457144	2.23
135925	2.23
457145	2.23
136003	2.23
84235	2.23
139025	3.99
8282	2.34
34667	2.45
34871	2.45
34873	2.45
56784	2.45
34872	2.45
4343	2.780
1710	2.67
6600	2.56
230	1.46
5660	3.220
5932	3.44
196288	3.770
9797	2.78
9824	2.78
4103087	1.240
34868	2.45
37905	2.45
34869	2.45
37918	2.45
37915	2.45
34867	2.45
25605	2.45
26011	2.45
34870	2.45
34666	2.45
21924	2.45
3216	2.67
6057	2.56
5807	1.570
6610	2.560
21587143	3.99
61739	2.34
34866	2.45
34665	2.45
34664	2.45
37904	2.45
34864	2.45
34188	2.45
34865	2.45
9786472	3.55
6478	2.780
65272	4.54
744	1.350
6492	2.34
11708	1.9
10438331	2.12
2927	2.56
5554	3.220
2928	2.45
27793	2.12
82754	2.12
457138	2.12
102897	2.12
457139	2.12
102947	2.12
97173	2.12
102720	2.12
102801	2.12
102833	2.12
102721	2.12
102856	2.12
102933	2.12
103066	2.12
106355	2.12
82755	2.12
82712	2.12
157094	2.12
103011	2.12
102798	2.12
82762	2.12
97172	2.12
2925	2.45
18547147	3.770
4380	2.450
2424	1.680
34863	2.45
2760	3.330
11974	1.680
32555	1.57
19232038	3.66
13835294	2.78
6514	3.0
33281	2.340
56786	2.340
56789	2.340
33456	2.340
46264	2.340
4777	2.890
10481872	3.22
5550	3.33
553649	3.0
8124942	2.78
56787	2.340
35583	2.340
82807	2.340
56794	2.340
33386	2.340
33457	2.340
47912	2.340
82817	2.340
46893	2.340
33280	2.340
35582	2.340
33304	2.340
46263	2.340
19232037	3.440
10169	3.55
5542	3.330
5376	2.23
8101973	2.560
21106365	2.56
8351654	0.910
2975965	2.890
13300034	2.340
197564	3.33
34874	2.340
36972	2.340
56788	2.340
533188	2.340
35579	2.340
16182	2.340
46262	2.340
35580	2.340
82818	2.340
56790	2.340
56795	2.340
33458	2.340
82777	2.340
35584	2.340
56785	2.340
56792	2.340
34189	2.340
5233	2.230
2075	3.550
3438	3.220
102834	2.01
102722	2.01
154865	2.01
96948	2.01
102743	2.01
102857	2.01
154866	2.01
106356	2.01
102787	2.01
102741	2.01
97240	2.01
97055	2.01
97198	2.01
102742	2.01
2915	2.670
4447447	3.0
193441	3.220
2654	1.79
1278	2.56
56793	2.340
454495	2.340
40191	2.340
56791	2.340
35581	2.340
56775	2.230
56770	2.230
5553	3.11
25677	2.340
2699	3.220
60858	2.560
91432	2.34
6453	2.67
8103122	2.78
33282	2.230
46285	2.230
46284	2.230
82806	2.230
56776	2.230
47913	2.230
32952	2.230
45446	2.230
43353	2.230
56773	2.230
12549	3.220
5633	3.220
14916	2.34
541032	1.57
5541	3.220
97257	1.9
97224	1.9
102923	1.9
96868	1.9
96864	1.9
97234	1.9
97233	1.9
154062	1.9
97142	1.9
12699	3.11
