Compound Id	FragmentComplexity
7172	12.06
13868640	8.02
18707	9.03
123	9.02
502245	14.04
13860720	9.03
21106571	10.04
21106163	10.04
44152	14.05
10257	12.06
13875356	8.02
19766	11.05
124	11.03
204209	52.02
7142	10.03
13853943	10.04
58563	10.03
10864	10.04
21106540	10.04
132	10.03
331	10.03
6550	34.03
78467	11.03
7315	49.03
11087	7.01
6339	5.04
13875212	8.02
21108576	10.02
26516	9.01
4768	15.06
20848	15.06
4963	10.03
13859497	34.03
12640	6.02
6106	2.02
776	28.01
7145	10.04
6480	31.01
1448	13.07
38364	9.03
10343	14.07
559096	304.02
3534	109.04
8098	31.01
21361761	52.03
1361549	15.01
11961	10.04
7302	40.01
967	12.06
556589	12.02
13846959	10.04
10837	13.07
7299	40.0
2169	14.06
526	11.04
21106518	10.02
27488	9.03
10437210	10.04
11954	10.04
21111772	10.04
27749	15.05
7199	11.02
15517	37.03
589165	10.03
17868	37.02
5027	13.06
8183	12.05
5882	12.05
192748	16.08
9120	13.07
67594	46.02
13856959	49.02
15489	40.01
6780	31.01
4744	17.04
62484	11.03
768	31.05
10437836	13.06
2991	43.01
13848793	34.02
7150	13.05
361	12.05
8182	12.04
992	12.04
21106470	31.02
2121	43.03
392447	11.02
577	8.04
6788	34.0
10437239	10.06
953	10.03
13868660	8.02
6675	10.03
11588	10.03
4437893	55.02
1906	11.03
1015	28.04
10870	13.07
10975	13.07
906	31.0
105291	9.06
7042	13.06
21106570	11.05
12044	40.0
2185	43.02
13063	37.0
6736	34.0
8528	8.03
68568	10.03
8876	31.0
5775	613.01
10909	37.0
10918	37.0
8855	31.02
256210	34.02
49179	651.05
5557	214.05
24326358	13.05
21486195	112.09
10328	8.02
12047	40.0
10849	37.0
8470	13.04
10851	37.0
11769	8.02
13677	37.0
13846658	40.01
12045	40.0
65763	12.05
10432	8.02
5142	11.05
13867714	37.02
21105699	37.02
10850	37.0
1151	34.06
6852	37.01
4514549	0.01
48085	709.05
14627	34.02
87265	9.02
65701	10.02
18941	17.06
10831	37.0
10813	37.0
10908	37.0
551	69.01
16359	13.06
7044	13.06
28552	16.07
29282	17.06
10829	37.0
8060	52.03
15619	40.0
6737	34.01
96749	93.06
29117	46.03
6688	16.1
4760	16.06
12874	16.06
10841	37.0
26325182	49.06
18177	13.04
8262	40.03
8273	40.03
17339596	257.09
3277	55.03
15621	40.0
26260	40.0
5162	70.08
12682	40.0
5593	28.02
8329	49.02
6789	34.01
11776	9.03
15488	40.01
707	12.06
83191	409.03
5774	424.03
92494	439.03
92468	454.03
11489	31.02
6586	40.02
15620	40.0
15861	40.0
12705	15.06
12730	18.07
472932	9.06
6950	28.03
3350	11.04
218253	40.01
4333	61.07
63968	40.02
6706	11.04
68437	40.0
11038	8.02
2068	40.06
5236	40.06
6855	40.01
13090	43.02
13303	14.06
13302	14.06
133166	394.03
8067	12.06
6840	74.01
8030	49.02
3008	14.05
6739	34.01
2283071	43.0
8807	64.0
5791	364.02
11286	43.06
21106059	97.08
13839012	40.01
7151	12.06
10903	40.01
6835	40.01
5145918	177.07
15475	37.02
15755	37.02
14995	37.02
14994	37.02
67470	37.02
15476	37.02
15477	37.02
15478	37.02
15524	37.02
15756	37.02
8058	49.03
15473	43.02
17099	43.02
17098	43.02
33933	43.02
15474	43.02
11003	40.01
8093	49.02
36029	61.06
58496	793.03
6735	34.01
4932499	43.0
8341	34.01
6592	69.0
6371	52.02
2297441	15.08
7155	15.08
3693	58.03
89258	16.08
26010	43.02
30600	43.02
33455	43.02
33934	43.02
33932	43.02
10628694	31.04
11294	37.02
4268	52.05
6604	37.03
23886	43.02
33421	43.02
6838	89.02
6002	348.03
6753	79.02
1262	52.03
6807	43.02
4470736	100.07
20124	34.02
4911	114.05
62265	15.07
64016	58.03
8319	34.01
6790	34.01
6588	40.03
3652	139.08
185	31.05
75995	164.08
2271976	438.05
457140	40.03
84188	40.03
136000	40.03
135983	40.03
136001	40.03
136002	40.03
158870	40.03
157093	40.03
83374	40.03
457144	40.03
135925	40.03
457145	40.03
136003	40.03
84235	40.03
139025	491.06
8282	37.02
34667	46.03
34871	46.03
34873	46.03
56784	46.03
34872	46.03
4343	85.08
1710	99.04
6600	43.02
230	64.06
5660	296.02
5932	409.03
196288	465.06
9797	104.04
9824	74.01
4103087	14.08
34868	46.03
37905	46.03
34869	46.03
37918	46.03
37915	46.03
34867	46.03
25605	46.03
26011	46.03
34870	46.03
34666	46.03
21924	46.03
3216	76.07
6057	55.04
5807	212.08
6610	49.03
21587143	574.06
61739	37.02
34866	46.03
34665	46.03
34664	46.03
37904	46.03
34864	46.03
34188	46.03
34865	46.03
9786472	439.06
6478	64.0
65272	772.02
744	34.06
6492	37.02
11708	8.02
10438331	43.04
2927	55.04
5554	349.02
2928	58.05
27793	43.04
82754	43.04
457138	43.04
102897	43.04
457139	43.04
102947	43.04
97173	43.04
102720	43.04
102801	43.04
102833	43.04
102721	43.04
102856	43.04
102933	43.04
103066	43.04
106355	43.04
82755	43.04
82712	43.04
157094	43.04
103011	43.04
102798	43.04
82762	43.04
97172	43.04
2925	58.05
18547147	544.06
4380	119.07
2424	43.06
34863	46.03
2760	212.06
11974	10.04
32555	187.09
19232038	529.06
13835294	84.02
6514	94.02
33281	49.04
56786	49.04
56789	49.04
33456	49.04
46264	49.04
4777	58.03
10481872	184.1
5550	489.04
553649	43.0
8124942	124.06
56787	49.04
35583	49.04
82807	49.04
56794	49.04
33386	49.04
33457	49.04
47912	49.04
82817	49.04
46893	49.04
33280	49.04
35582	49.04
33304	49.04
46263	49.04
19232037	499.06
10169	99.0
5542	484.06
5376	64.07
8101973	114.06
21106365	74.02
8351654	9.07
2975965	99.03
13300034	49.04
197564	184.04
34874	49.04
36972	49.04
56788	49.04
533188	49.04
35579	49.04
16182	49.04
46262	49.04
35580	49.04
82818	49.04
56790	49.04
56795	49.04
33458	49.04
82777	49.04
35584	49.04
56785	49.04
56792	49.04
34189	49.04
5233	99.06
2075	109.01
3438	134.05
102834	46.05
102722	46.05
154865	46.05
96948	46.05
102743	46.05
102857	46.05
154866	46.05
106356	46.05
102787	46.05
102741	46.05
97240	46.05
97055	46.05
97198	46.05
102742	46.05
2915	69.01
4447447	438.04
193441	374.05
2654	17.07
1278	74.02
56793	49.04
454495	49.04
40191	49.04
56791	49.04
35581	49.04
56775	52.05
56770	52.05
5553	421.03
25677	49.04
2699	114.03
60858	49.03
91432	104.06
6453	89.03
8103122	73.06
33282	52.05
