Compound Id	D73
582	2.784431
583	2.557588
584	2.434269
585	2.947703
586	2.196792
587	2.056326
588	1.624382
589	1.815855
590	2.270942
591	1.71472
592	3
593	1.929309
594	1.991076
595	2.125
596	2.950825
597	3
598	2.413088
599	2.807355
600	2.280672
601	2.321928
602	2.846439
603	2
604	2.128085
605	1.77995
606	1.556901
607	1.815855
608	2.056326
609	2.004936
610	1.769546
611	2.091917
612	2.249287
613	2.63846
614	2.474602
615	2.792481
616	2.84644
617	2.320802
618	3.121928
619	2.721928
620	2.721928
621	1.584963
622	2.246439
623	1.905639
624	1.950212
625	2.259237
626	2.896291
627	3.07782
628	2.418296
629	1.584963
630	1.75
631	1.950212
632	2.21498
633	2.774397
634	2.423795
635	2.09099
636	2.77327
637	2.608459
638	2.608459
639	3.121928
640	2.368523
641	1.950212
642	2.918296
643	1.933206
644	1.933206
645	3.121928
646	2.721928
647	2.459148
648	3.046439
649	2.459148
650	3.046439
651	3.127987
652	2.646439
653	2.947703
654	1.70044
655	1.70044
656	3.121928
657	1.459148
658	2.046439
659	2.113283
660	2.263809
661	2
662	1.950212
663	2.25
664	1.5
665	1.521928
666	0
667	1
668	0
669	1.584963
670	0.918296
671	0
672	0
673	0
674	1
675	0
676	1.521928
677	0
678	1.626615
679	2.17095
680	1.51579
681	1.192999
682	2.503258
683	2.155639
684	2.235926
685	1.29566
686	1.823027
687	1.334209
688	1.896241
689	2.19716
690	2.25
691	1.842371
692	2.584963
693	1.918296
694	1.918296
695	1.225236
696	1.687943
697	1.259398
698	1.753434
699	2.0805
700	1.375258
701	1.971747
702	2.419382
703	2.5
704	2.113283
705	2.155639
706	2.287784
707	2.753434
708	2.753434
709	2.646439
710	2.17095
711	2.556657
712	1.419035
713	2
714	2.25
715	1.5
716	1.521928
717	1.465791
718	1.569308
719	2.292481
720	2.292481
721	2.292481
722	2.292481
723	2.292481
724	2.292481
725	1.584963
726	2.584963
727	2.321928
728	2.235926
729	2.584963
730	1.792481
731	2.807355
732	2.75
733	1.584963
734	2.584963
735	1.792481
736	1
737	2.807355
738	2.584963
739	2.75
740	2.321928
741	2.584963
742	1.584963
743	2.5
744	2.235926
745	1.584963
746	2.5
747	2.555037
748	2.584963
749	2
750	2.555037
751	2.555037
752	2.584963
753	2
754	2.555037
755	2.95282
756	2.95282
757	2.641604
758	2.641604
759	2.641604
760	2.438744
761	2.641604
762	2.641604
763	2.641604
764	2.438744
765	2.36274
766	2.36274
767	2.521641
768	2.584963
769	3
770	1.918296
771	2.521641
772	2.321928
773	1.921928
774	2.75
